#SEARCH PARAMETERS:
#Initial robustness threshold:	0.01
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ALL_MOST_ROBUST_SUPPORTING_ACTIONS_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
zenotravel.pddl.4p_4a_4d.0,pfile2,12,1,3,0.015625,0.992,0.02,0.96,0,0.012,0.690987,0.0498167,-nan
zenotravel.pddl.4p_4a_4d.0,pfile2,12,2,3,0.03125,2.584,0.09,2.46,0.01,0.024,0.55132,0.0458341,-nan
zenotravel.pddl.4p_4a_4d.0,pfile4,12,1,9,0.0117188,6.632,0.3,6.3,0.02,0.012,0.335423,0.0460137,-nan
zenotravel.pddl.4p_4a_4d.0,pfile4,12,2,7,0.015625,11.484,0.48,10.95,0.03,0.024,0.35503,0.0464309,-nan
zenotravel.pddl.4p_4a_4d.0,pfile6,12,1,12,0.015625,3.152,0.14,3,0,0.012,0.398058,0.0374359,-nan
zenotravel.pddl.4p_4a_4d.0,pfile2,12,1,6,0.015625,0.782,0.06,0.71,0,0.012,0.50303,0.043466,-nan
zenotravel.pddl.4p_4a_4d.0,pfile2,12,2,4,0.03125,0.984,0.07,0.89,0,0.024,0.425,0.0399356,-nan
zenotravel.pddl.4p_4a_4d.0,pfile4,12,1,6,0.015625,0.732,0.02,0.7,0,0.012,0.268041,0.0510577,-nan
zenotravel.pddl.4p_4a_4d.0,pfile6,12,1,12,0.0117188,2.622,0.1,2.51,0,0.012,0.558824,0.0371556,-nan
zenotravel.pddl.4p_4a_4d.0,pfile6,12,2,10,0.015625,15.884,0.65,15.18,0.03,0.024,0.357798,0.0336617,-nan
zenotravel.pddl.4p_4a_0d.0,pfile2,8,1,3,0.5,0.042,0.01,0.01,0.01,0.012,1,0.0407356,-nan
zenotravel.pddl.4p_4a_0d.0,pfile4,8,1,9,0.015625,0.432,0.02,0.4,0,0.012,0.74359,0.03401,-nan
zenotravel.pddl.4p_4a_0d.0,pfile4,8,2,7,0.03125,0.644,0.03,0.59,0,0.024,0.851852,0.0380988,-nan
zenotravel.pddl.4p_4a_0d.0,pfile4,8,3,10,0.0625,2.066,0.1,1.93,0,0.036,0.4375,0.0185091,-nan
zenotravel.pddl.4p_4a_0d.0,pfile4,8,4,7,0.125,3.078,0.14,2.89,0,0.048,0.446809,0.0168262,-nan
zenotravel.pddl.4p_4a_0d.0,pfile4,8,5,5,0.25,3.41,0.16,3.19,0,0.06,0.5,0.0205386,-nan
zenotravel.pddl.4p_4a_0d.0,pfile6,8,1,12,0.0625,0.552,0.04,0.5,0,0.012,1,0.0284418,-nan
zenotravel.pddl.4p_4a_0d.0,pfile6,8,2,9,0.125,1.004,0.06,0.92,0,0.024,0.621622,0.0250438,-nan
zenotravel.pddl.4p_4a_0d.0,pfile6,8,3,9,0.25,2.726,0.16,2.52,0.01,0.036,0.375,0.0151101,-nan
