#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
depots.pddl.0p_0a_1d.0,pfile1,1,1,10,1,0,0,0,0,0,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile2,1,1,14,0.5,0.012998,0,0,0,0.012998,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile3,1,1,35,0.5,0.063997,0,0.05,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile7,1,1,44,0.5,0.063997,0.01,0.03,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile8,1,1,135,0.5,0.573997,0.06,0.47,0.03,0.013997,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile9,1,1,630,0.5,44.823,5.35,37.19,2.27,0.012998,1,-nan,-nan
depots.pddl.0p_0a_1d.0,pfile10,1,1,45,0.5,0.103997,0,0.08,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile1,2,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile2,2,1,41,0.5,0.043997,0,0.02,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile3,2,1,66,0.25,0.133997,0.03,0.09,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile4,2,1,28,0.5,0.043997,0,0.03,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile5,2,1,577,0.25,15.594,1.64,13.21,0.73,0.013997,0.979787,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile7,2,1,215,0.25,0.603997,0.01,0.55,0.03,0.013997,0.988362,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile8,2,1,117,0.25,3.554,0.42,2.93,0.19,0.013997,0.975812,-nan,-nan
depots.pddl.0p_0a_2d.0,pfile10,2,1,24,0.25,0.053997,0,0.04,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile1,3,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile2,3,1,15,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile3,3,1,346,0.25,3.254,0.23,2.92,0.09,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile7,3,1,99,0.25,0.223997,0.03,0.17,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile8,3,1,93,0.25,0.443997,0.05,0.34,0.04,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile9,3,1,491,0.25,44.764,2.95,40.22,1.58,0.013997,1,-nan,-nan
depots.pddl.0p_0a_3d.0,pfile10,3,1,42,0.25,0.133997,0.05,0.06,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile1,4,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile2,4,1,14,0.125,0.023997,0,0.01,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile3,4,1,152,0.0625,0.403997,0.06,0.31,0.02,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile3,4,2,34,0.125,0.477994,0.06,0.37,0.02,0.027994,0.905109,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile5,4,1,516,0.0625,15.873,1.14,14.14,0.58,0.012997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile7,4,1,212,0.0625,0.443997,0.01,0.37,0.05,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile7,4,2,22,0.125,0.477994,0.02,0.38,0.05,0.027994,0.902778,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile8,4,1,60,0.0625,0.263997,0.04,0.2,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile8,4,2,39,0.125,2.31799,0.13,2.06,0.1,0.027994,0.707025,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile9,4,1,732,0.0625,63.444,4.87,57.02,1.54,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile9,4,2,120,0.125,65.498,5.1,58.74,1.63,0.027994,0.813333,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile10,4,1,32,0.0625,0.093997,0.02,0.06,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_4d.0,pfile10,4,2,30,0.125,0.167994,0.03,0.11,0,0.027994,0.912621,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile1,5,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile2,5,1,17,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile3,5,1,127,0.03125,0.453997,0.04,0.38,0.02,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile3,5,2,54,0.0625,0.866995,0.09,0.72,0.03,0.026995,0.643284,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile4,5,1,127,0.03125,0.243997,0,0.19,0.04,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile5,5,1,101,0.03125,0.503997,0.08,0.36,0.05,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile6,5,1,373,0.03125,16.504,1.09,14.49,0.91,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile7,5,1,32,0.0625,0.063997,0,0.05,0,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile8,5,1,109,0.03125,0.803997,0.05,0.69,0.05,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile9,5,1,250,0.03125,4.074,0.42,3.36,0.28,0.013997,1,-nan,-nan
depots.pddl.0p_0a_5d.0,pfile10,5,1,26,0.0625,0.083997,0.01,0.06,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_0d.0,pfile1,1,1,10,1,0,0,0,0,0,1,-nan,-nan
depots.pddl.0p_1a_0d.0,pfile2,1,1,16,1,0,0,0,0,0,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile1,4,1,10,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile1,4,2,10,0.25,0.026994,0,0,0,0.026994,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile2,4,1,14,0.0625,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile3,4,1,56,0.0625,0.123997,0,0.11,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile5,4,1,360,0.0625,39.333,1.87,36.69,0.76,0.012997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile7,4,1,28,0.0625,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile8,4,1,48,0.0625,0.203997,0,0.19,0,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile9,4,1,300,0.0625,19.044,1.25,17.21,0.57,0.013997,1,-nan,-nan
depots.pddl.0p_1a_3d.0,pfile10,4,1,38,0.0625,0.143997,0.01,0.12,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_0d.0,pfile1,2,1,10,1,0,0,0,0,0,1,-nan,-nan
depots.pddl.0p_2a_0d.0,pfile2,2,1,15,1,0,0,0,0,0,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile1,7,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile2,7,1,14,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile3,7,1,30,0.046875,0.063997,0,0.05,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile4,7,1,24,0.046875,0.043997,0,0.03,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile5,7,1,55,0.0234375,0.273997,0.04,0.21,0.01,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile6,7,1,395,0.015625,9.614,0.51,8.76,0.33,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile7,7,1,22,0.0234375,0.043997,0,0.03,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile7,7,2,19,0.046875,0.517994,0.03,0.4,0.06,0.027994,0.525037,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile8,7,1,77,0.015625,0.323997,0.02,0.25,0.04,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile8,7,2,57,0.0234375,0.637994,0.06,0.46,0.09,0.027994,0.963636,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile9,7,1,126,0.0234375,1.734,0.16,1.43,0.13,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile10,7,1,25,0.046875,0.053997,0,0.04,0,0.013997,1,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile10,7,2,24,0.0625,0.127994,0,0.09,0.01,0.027994,0.927711,-nan,-nan
depots.pddl.0p_2a_5d.0,pfile10,7,3,26,0.09375,0.261991,0.03,0.17,0.02,0.041991,0.834123,-nan,-nan
