#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
driverlog.pddl.0p_0a_1d.0,pfile1,1,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_1d.0,pfile5,1,1,27,1,0.01,0,0.01,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_1d.0,pfile7,1,1,14,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_1d.0,pfile10,1,1,24,1,0.01,0,0.01,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.013998,0,0,0,0.013998,1,-nan,-nan
driverlog.pddl.0p_0a_2d.0,pfile3,2,1,13,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_2d.0,pfile5,2,1,20,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_2d.0,pfile7,2,1,30,0.25,0.033997,0.01,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_2d.0,pfile10,2,1,19,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile1,3,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile1,3,2,7,1,0.013997,0,0,0,0.013997,0.823529,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile2,3,1,17,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile3,3,1,13,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile4,3,1,17,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile5,3,1,18,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile6,3,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile7,3,1,15,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile7,3,2,13,1,0.053997,0,0.04,0,0.013997,0.529032,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile8,3,1,24,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile9,3,1,43,0.5,0.063997,0.02,0.03,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile9,3,2,37,1,0.123997,0.02,0.09,0,0.013997,0.871795,-nan,-nan
driverlog.pddl.0p_0a_3d.0,pfile10,3,1,17,1,0.01,0,0.01,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile1,4,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile2,4,1,16,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile3,4,1,13,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile4,4,1,17,0.125,0.012997,0,0,0,0.012997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile4,4,2,17,0.25,0.035994,0,0.01,0,0.025994,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile5,4,1,17,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile6,4,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile7,4,1,15,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile7,4,2,15,0.25,0.037994,0,0.01,0,0.027994,0.978261,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile8,4,1,22,0.125,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile9,4,1,29,0.125,0.033997,0.01,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_4d.0,pfile10,4,1,17,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile1,5,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile2,5,1,17,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile3,5,1,13,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile4,5,1,17,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile5,5,1,23,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile6,5,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile7,5,1,15,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile7,5,2,13,0.5,0.066994,0,0.03,0.01,0.026994,0.560976,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile8,5,1,20,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile9,5,1,25,0.0625,0.033997,0,0.01,0.01,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile9,5,2,36,0.125,0.067994,0,0.03,0.01,0.027994,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile10,5,1,17,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_0a_5d.0,pfile10,5,2,17,0.5,0.047994,0,0.02,0,0.027994,0.9375,-nan,-nan
driverlog.pddl.0p_1a_0d.0,pfile1,1,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_1a_0d.0,pfile3,1,1,13,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_1a_0d.0,pfile5,1,1,19,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_1a_0d.0,pfile7,1,1,25,1,0.17,0.02,0.13,0.02,0,0.913462,-nan,-nan
driverlog.pddl.0p_1a_1d.0,pfile1,2,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_1a_2d.0,pfile1,3,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_1a_2d.0,pfile3,3,1,13,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_1a_2d.0,pfile5,3,1,20,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_1a_2d.0,pfile7,3,1,21,0.25,0.023997,0.01,0,0,0.013997,0.911765,-nan,-nan
driverlog.pddl.0p_1a_3d.0,pfile1,4,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_2a_1d.0,pfile1,3,1,8,1,0,0,0,0,0,1,-nan,-nan
driverlog.pddl.0p_2a_2d.0,pfile1,4,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile1,7,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile2,7,1,16,0.0625,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile3,7,1,13,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile4,7,1,17,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile5,7,1,23,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile6,7,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile7,7,1,17,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile8,7,1,20,0.125,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile9,7,1,49,0.0625,0.063997,0,0.04,0.01,0.013997,1,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile9,7,2,25,0.125,0.097994,0,0.06,0.01,0.027994,0.974359,-nan,-nan
driverlog.pddl.0p_2a_5d.0,pfile10,7,1,18,0.125,0.023997,0,0.01,0,0.013997,1,-nan,-nan
driverlog.pddl.1p_0a_0d.0,pfile1,1,1,3,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
