#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
freecell.pddl.0p_0a_1d.0,pfile1,1,1,10,1,0,0,0,0,0,1,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile2,1,1,16,1,0.02,0,0.02,0,0,1,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile3,1,1,23,1,0.06,0.01,0.04,0.01,0,1,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile4,1,1,55,1,0.48,0.03,0.45,0,0,1,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile5,1,1,49,1,12.71,1.34,11.08,0.29,0,0.904885,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile6,1,1,60,1,1.34,0.16,1.14,0.04,0,0.991803,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile7,1,1,119,1,3.23,0.42,2.73,0.08,0,0.955224,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile8,1,1,83,1,3.95,0.73,3.14,0.08,0,1,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile9,1,1,89,1,21.83,4.03,17.29,0.51,0,0.853428,-nan,-nan
freecell.pddl.0p_0a_1d.0,pfile10,1,1,190,1,23.28,4.79,18.01,0.48,0,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile1,2,1,8,1,0,0,0,0,0,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile2,2,1,17,0.5,0.043997,0,0.03,0,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile2,2,2,16,1,0.083997,0,0.07,0,0.013997,0.666667,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile3,2,1,22,0.5,0.083997,0.02,0.05,0,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile3,2,2,22,1,0.143997,0.02,0.11,0,0.013997,0.857143,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile4,2,1,175,0.25,3.784,0.41,3.33,0.03,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile4,2,2,33,0.5,4.03699,0.44,3.52,0.05,0.026995,0.980392,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile4,2,3,41,1,4.39699,0.46,3.85,0.06,0.026995,0.784431,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile5,2,1,57,0.25,15.934,0.9,14.76,0.26,0.013997,0.913244,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile6,2,1,44,0.5,0.902997,0.14,0.75,0,0.012997,1,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile6,2,2,71,1,2.723,0.37,2.28,0.06,0.012997,0.870748,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile7,2,1,414,0.25,82.194,6.34,74.6,1.24,0.013997,0.922232,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile8,2,1,97,0.25,6.343,1.03,5.11,0.19,0.012997,0.939698,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile8,2,2,85,0.5,11.516,2.03,9.17,0.29,0.025994,0.863095,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile8,2,3,73,1,15.516,2.77,12.27,0.45,0.025994,0.856089,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile9,2,1,253,0.25,28.283,4.25,23.52,0.5,0.012997,0.860544,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile9,2,2,66,0.5,67.986,8.26,58.5,1.2,0.025994,0.750332,-nan,-nan
freecell.pddl.0p_0a_2d.0,pfile10,2,1,114,0.25,14.234,2.23,11.63,0.36,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile1,3,1,10,1,0.01,0,0.01,0,0,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile2,3,1,17,0.5,0.043997,0,0.03,0,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile2,3,2,15,1,0.073997,0,0.06,0,0.013997,0.961538,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile3,3,1,20,1,0.05,0.01,0.04,0,0,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile4,3,1,39,0.5,0.353997,0.02,0.31,0.01,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile4,3,2,38,1,0.653997,0.05,0.56,0.03,0.013997,0.861111,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile5,3,1,65,0.5,1.214,0.16,1,0.04,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile5,3,2,41,1,1.754,0.24,1.46,0.04,0.013997,0.888889,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile6,3,1,57,0.5,1.424,0.21,1.18,0.02,0.013997,0.975369,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile6,3,2,65,1,3.354,0.48,2.79,0.07,0.013997,0.918644,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile7,3,1,112,0.125,7.443,1.18,6.13,0.12,0.012997,0.994275,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile7,3,2,98,0.25,46.756,5.14,40.61,0.98,0.025994,0.762935,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile7,3,3,85,0.5,49.7,5.61,43.05,1,0.039991,0.960486,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile8,3,1,71,0.125,166.984,21.92,142.52,2.53,0.013997,0.975218,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile8,3,2,134,0.25,179.637,24.16,152.65,2.8,0.026994,0.865979,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile9,3,1,122,0.125,8.314,1.39,6.73,0.18,0.013997,0.973451,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile10,3,1,68,0.125,4.564,0.71,3.68,0.16,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile10,3,2,161,0.25,25.728,3.76,21.34,0.6,0.027994,0.847597,-nan,-nan
freecell.pddl.0p_0a_3d.0,pfile10,3,3,90,0.5,34.062,5.37,27.93,0.72,0.041991,0.954155,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile1,4,1,10,0.5,0.022998,0,0,0.01,0.012998,1,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile1,4,2,12,1,0.022998,0,0,0.01,0.012998,0.933333,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile2,4,1,18,0.5,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile2,4,2,18,1,0.083997,0.03,0.04,0,0.013997,0.923077,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile3,4,1,21,0.5,0.083997,0.01,0.06,0,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile3,4,2,88,1,0.953997,0.11,0.81,0.02,0.013997,0.707865,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile4,4,1,30,0.5,0.173997,0.02,0.13,0.01,0.013997,1,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile4,4,2,62,1,0.823997,0.04,0.72,0.05,0.013997,0.784512,-nan,-nan
freecell.pddl.0p_0a_4d.0,pfile5,4,1,45,0.125,0.723997,0.11,0.6,0,0.013997,1,-nan,-nan
