#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
rover.pddl.0p_0a_1d.0,pfile1,1,1,10,0.5,0.012998,0,0,0,0.012998,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile4,1,1,8,1,0,0,0,0,0,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile5,1,1,22,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile6,1,1,43,0.5,0.053997,0.01,0.03,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile7,1,1,18,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile8,1,1,28,0.5,0.033997,0.01,0,0.01,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile9,1,1,58,0.5,0.113997,0.01,0.09,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_1d.0,pfile10,1,1,39,0.5,0.063997,0,0.05,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile1,2,1,9,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile1,2,2,20,1,0.013997,0,0,0,0.013997,0.894737,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile2,2,1,7,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile2,2,2,7,0.5,0.027994,0,0,0,0.027994,0.875,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile2,2,3,8,1,0.027994,0,0,0,0.027994,0.941176,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile3,2,1,13,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile3,2,2,14,1,0.013997,0,0,0,0.013997,0.947368,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile4,2,1,8,1,0,0,0,0,0,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile5,2,1,23,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile6,2,1,39,0.25,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile7,2,1,16,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile8,2,1,30,0.25,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile8,2,2,29,0.5,0.697994,0.14,0.51,0.02,0.027994,0.685563,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile8,2,3,31,1,0.737994,0.14,0.55,0.02,0.027994,0.896552,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile9,2,1,39,0.25,0.073997,0.02,0.04,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_2d.0,pfile10,2,1,44,0.25,0.062998,0,0.05,0,0.012998,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile1,3,1,14,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile1,3,2,10,1,0.013997,0,0,0,0.013997,0.956522,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile2,3,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile2,3,2,8,1,0.013997,0,0,0,0.013997,0.888889,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile3,3,1,14,1,0,0,0,0,0,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile4,3,1,8,1,0,0,0,0,0,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile5,3,1,26,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile5,3,2,22,0.5,0.057994,0.01,0.02,0,0.027994,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile6,3,1,42,0.25,0.052997,0.01,0.03,0,0.012997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile6,3,2,38,0.5,0.116994,0.03,0.06,0,0.026994,0.923077,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile7,3,1,18,0.5,0.023997,0.01,0,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile7,3,2,18,1,0.053997,0.01,0.03,0,0.013997,0.574468,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile8,3,1,28,0.25,0.053997,0.01,0.03,0,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile8,3,2,26,0.5,0.117994,0.04,0.05,0,0.027994,0.989247,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile9,3,1,37,0.25,0.103997,0.01,0.07,0.01,0.013997,1,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile9,3,2,33,0.5,1.29799,0.11,1.03,0.13,0.027994,0.660459,-nan,-nan
rover.pddl.0p_0a_3d.0,pfile10,3,1,50,0.125,0.123997,0.04,0.07,0,0.013997,1,-nan,-nan
