#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
satellite.pddl.0p_0a_1d.0,pfile1,1,1,10,1,0,0,0,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile2,1,1,23,1,0,0,0,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile3,1,1,16,1,0,0,0,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile5,1,1,27,1,0.02,0,0.02,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile6,1,1,27,1,0.03,0.01,0.02,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile7,1,1,28,1,0.04,0.01,0.03,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile8,1,1,30,1,0.06,0,0.06,0,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile9,1,1,76,1,0.3,0.03,0.26,0.01,0,1,-nan,-nan
satellite.pddl.0p_0a_1d.0,pfile10,1,1,38,1,0.11,0.01,0.09,0.01,0,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.012998,0,0,0,0.012998,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile2,2,1,12,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile3,2,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile5,2,1,15,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile6,2,1,18,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile7,2,1,25,0.5,0.033997,0.01,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile8,2,1,33,0.5,0.083997,0.01,0.06,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile9,2,1,38,0.5,0.103997,0.01,0.08,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_2d.0,pfile10,2,1,41,0.5,0.143997,0.02,0.1,0.01,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile1,3,1,8,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile2,3,1,12,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile3,3,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile5,3,1,14,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile6,3,1,19,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile7,3,1,28,0.25,0.053997,0.01,0.02,0.01,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile8,3,1,34,0.25,0.083997,0.01,0.05,0.01,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile9,3,1,33,0.25,0.093997,0,0.08,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_3d.0,pfile10,3,1,41,0.25,0.153997,0.05,0.09,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile1,4,1,8,0.5,0.012997,0,0,0,0.012997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile2,4,1,13,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile3,4,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile5,4,1,15,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile6,4,1,19,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile7,4,1,24,0.5,0.033997,0,0.02,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile8,4,1,26,0.25,0.053997,0,0.04,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile9,4,1,30,0.5,0.073997,0.02,0.04,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_4d.0,pfile10,4,1,36,0.25,0.103997,0.03,0.06,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile1,4,1,8,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile2,4,1,12,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile3,4,1,10,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile5,4,1,14,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile6,4,1,20,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile7,4,1,24,0.25,0.033997,0,0.02,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile8,4,1,25,0.25,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile9,4,1,29,0.25,0.063997,0.04,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_0a_5d.0,pfile10,4,1,34,0.25,0.103997,0.01,0.07,0.01,0.013997,1,-nan,-nan
satellite.pddl.0p_1a_4d.0,pfile1,5,1,8,0.25,0.023997,0,0.01,0,0.013997,1,-nan,-nan
satellite.pddl.0p_1a_4d.0,pfile2,5,1,12,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_1a_4d.0,pfile3,5,1,10,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
satellite.pddl.0p_1a_4d.0,pfile5,5,1,15,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
