#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ANNOTATIONS_FREE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,6,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,6,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,17,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,17,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,16,1,0.01,0,0.01,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,18,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,21,0.5,0.043997,0.01,0.02,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile8,1,2,26,1,0.073997,0.01,0.04,0.01,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,44,1,0.07,0.02,0.04,0.01,0,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,58,0.5,0.113997,0.01,0.08,0.01,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_1d.0,pfile10,1,2,77,1,0.383997,0.06,0.3,0.01,0.013997,0.805774,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,6,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,20,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile3,2,2,6,1,0.013997,0,0,0,0.013997,0.904762,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,20,1,0.01,0,0,0.01,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,21,1,0.01,0,0.01,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,15,0.5,0.023997,0,0.01,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile6,2,2,22,1,0.043997,0.02,0.01,0,0.013997,0.929412,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,38,1,0.02,0,0.02,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,86,0.5,0.113997,0.03,0.06,0.01,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,44,1,0.08,0.01,0.07,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,44,0.5,0.103997,0.01,0.07,0.01,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,59,1,0.203997,0.03,0.14,0.02,0.013997,0.948498,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile1,3,1,1,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile2,3,1,4,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile3,3,1,5,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile4,3,1,6,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile4,3,2,6,0.5,0.027994,0,0,0,0.027994,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile5,3,1,11,0.125,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile5,3,2,11,0.25,0.077994,0.01,0.04,0,0.027994,0.415698,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile6,3,1,11,0.125,0.014997,0,0,0,0.014997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile7,3,1,38,0.5,0.034997,0,0.02,0,0.014997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile8,3,1,11,0.125,0.023997,0,0.01,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile8,3,2,11,0.25,0.047994,0,0.02,0,0.027994,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile8,3,3,17,0.5,0.091991,0,0.05,0,0.041991,0.670732,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile9,3,1,20,0.125,0.043997,0,0.03,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile9,3,2,22,0.25,0.087994,0,0.06,0,0.027994,0.7375,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile9,3,3,76,0.5,0.281991,0,0.22,0.02,0.041991,0.85977,-nan,-nan
zenotravel.pddl.0p_0a_3d.0,pfile10,3,1,21,0.125,0.034997,0,0.02,0,0.014997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile1,4,1,1,1,0,0,0,0,0,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile2,4,1,4,0.5,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile2,4,2,4,1,0.013997,0,0,0,0.013997,0.733333,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile3,4,1,5,0.25,0.014997,0,0,0,0.014997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile3,4,2,5,0.5,0.038994,0,0.01,0,0.028994,0.928571,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile4,4,1,6,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile4,4,2,6,0.5,0.027994,0,0,0,0.027994,0.944444,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile5,4,1,11,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile6,4,1,11,0.25,0.013997,0,0,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile7,4,1,16,0.125,0.023998,0,0.01,0,0.013998,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile8,4,1,14,0.125,0.043997,0,0.03,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile8,4,2,10,0.25,0.067994,0,0.04,0,0.027994,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile8,4,3,10,0.5,0.09299,0,0.05,0,0.04299,0.925926,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile9,4,1,34,0.0625,0.073997,0.02,0.04,0,0.013997,1,-nan,-nan
zenotravel.pddl.0p_0a_4d.0,pfile9,4,2,21,0.125,0.117994,0.03,0.06,0,0.027994,1,-nan,-nan
