#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
depots.pddl.0p_0a_1d.0,pfile1,1,1,10,0.5,0.022,0,0.01,0,0.012
depots.pddl.0p_0a_1d.0,pfile2,1,1,14,0.5,0.022,0,0.01,0,0.012
depots.pddl.0p_0a_1d.0,pfile3,1,1,92,0.5,0.692,0.01,0.66,0.01,0.012
depots.pddl.0p_0a_1d.0,pfile4,1,1,212,0.5,37.602,0.39,36.91,0.29,0.012
depots.pddl.0p_0a_1d.0,pfile7,1,1,170,0.5,0.882,0.05,0.77,0.05,0.012
depots.pddl.0p_0a_1d.0,pfile8,1,1,109,0.5,3.192,0.06,3.1,0.02,0.012
depots.pddl.0p_0a_1d.0,pfile10,1,1,38,0.5,0.322,0,0.29,0.02,0.012
depots.pddl.0p_0a_1d.0,pfile10,1,2,148,1,139.512,1.7,137.24,0.56,0.012
depots.pddl.0p_0a_2d.0,pfile1,2,1,11,1,0,0,0,0,0
depots.pddl.0p_0a_2d.0,pfile2,2,1,15,0.5,0.032,0,0.02,0,0.012
depots.pddl.0p_0a_2d.0,pfile3,2,1,102,0.25,1.942,0.07,1.85,0.01,0.012
depots.pddl.0p_0a_2d.0,pfile4,2,1,188,0.25,18.092,0.1,17.91,0.07,0.012
depots.pddl.0p_0a_2d.0,pfile7,2,1,139,0.25,3.292,0.04,3.23,0.01,0.012
depots.pddl.0p_0a_2d.0,pfile7,2,2,48,0.5,21.344,0.3,20.93,0.09,0.024
depots.pddl.0p_0a_2d.0,pfile8,2,1,61,0.25,1.022,0.08,0.89,0.04,0.012
depots.pddl.0p_0a_2d.0,pfile10,2,1,45,0.25,0.392,0.02,0.35,0.01,0.012
depots.pddl.0p_0a_3d.0,pfile1,3,1,13,0.25,0.012,0,0,0,0.012
depots.pddl.0p_0a_3d.0,pfile2,3,1,33,0.25,0.232,0.01,0.21,0,0.012
depots.pddl.0p_0a_3d.0,pfile3,3,1,146,0.25,3.502,0.05,3.42,0.02,0.012
