#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: INCREMENTAL_ROBUSTNESS_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
freecell.pddl.0p_0a_1d.0,pfile1,1,1,16,1,0.01,0,0.01,0,0,1,0.0786413,0
freecell.pddl.0p_0a_1d.0,pfile2,1,1,36,1,0.2,0,0.2,0,0,1,0.015006,0
freecell.pddl.0p_0a_1d.0,pfile3,1,1,22,1,0.11,0,0.1,0.01,0,1,0.0143686,0
freecell.pddl.0p_0a_1d.0,pfile4,1,1,38,1,0.63,0.05,0.57,0.01,0,1,0.00581942,0
freecell.pddl.0p_0a_1d.0,pfile5,1,1,60,1,1.55,0.08,1.44,0.03,0,1,0.00419975,0
freecell.pddl.0p_0a_1d.0,pfile6,1,1,85,1,4.26,0.23,3.95,0.08,0,1,0.00297265,0
freecell.pddl.0p_0a_1d.0,pfile7,1,1,186,1,35.5,0.84,34.52,0.14,0,0.991607,0.00238079,0
freecell.pddl.0p_0a_1d.0,pfile8,1,1,159,1,28.78,1.34,27.22,0.22,0,0.996159,0.00153659,0
freecell.pddl.0p_0a_1d.0,pfile9,1,1,156,1,37.59,2.13,35.2,0.26,0,0.989928,0.00131544,0
freecell.pddl.0p_0a_1d.0,pfile10,1,1,149,1,19.75,1.25,18.23,0.27,0,1,0.00205529,0
freecell.pddl.0p_0a_2d.0,pfile1,2,1,10,0.5,0.022,0,0.01,0,0.012,1,0.0555556,0
freecell.pddl.0p_0a_2d.0,pfile1,2,2,12,1,0.062,0.01,0.04,0,0.012,0.833333,0.0350916,0
freecell.pddl.0p_0a_2d.0,pfile2,2,1,53,0.25,1.682,0.05,1.61,0.01,0.012,1,0.0108069,0
freecell.pddl.0p_0a_2d.0,pfile2,2,2,27,0.5,2.074,0.08,1.96,0.01,0.024,0.976378,0.0154203,0
freecell.pddl.0p_0a_2d.0,pfile2,2,3,26,1,2.404,0.09,2.28,0.01,0.024,0.821138,0.0109862,0
freecell.pddl.0p_0a_2d.0,pfile3,2,1,29,0.25,0.152,0,0.13,0.01,0.012,1,0.020866,0
freecell.pddl.0p_0a_2d.0,pfile3,2,2,38,0.5,0.594,0.01,0.53,0.03,0.024,0.923977,0.0164609,0
freecell.pddl.0p_0a_2d.0,pfile3,2,3,25,1,0.904,0.01,0.84,0.03,0.024,0.752381,0.0121996,0
freecell.pddl.0p_0a_2d.0,pfile4,2,1,60,0.25,2.212,0.08,2.1,0.02,0.012,1,0.00503273,0
freecell.pddl.0p_0a_2d.0,pfile4,2,2,56,0.5,4.444,0.21,4.18,0.03,0.024,0.88785,0.00479519,0
freecell.pddl.0p_0a_2d.0,pfile4,2,3,39,1,5.624,0.26,5.28,0.06,0.024,0.766304,0.00564348,0
freecell.pddl.0p_0a_2d.0,pfile5,2,1,42,0.25,2.252,0.07,2.12,0.05,0.012,1,0.00331758,0
freecell.pddl.0p_0a_2d.0,pfile5,2,2,67,0.5,29.034,0.81,27.87,0.33,0.024,0.581042,0.00581125,0
freecell.pddl.0p_0a_2d.0,pfile5,2,3,109,1,38.294,1.43,36.4,0.44,0.024,0.801147,0.00304095,0
freecell.pddl.0p_0a_2d.0,pfile6,2,1,130,0.25,21.362,0.65,20.53,0.17,0.012,0.998415,0.00248487,0
freecell.pddl.0p_0a_2d.0,pfile6,2,2,69,0.5,26.924,0.93,25.75,0.22,0.024,0.92029,0.00306001,0
freecell.pddl.0p_0a_2d.0,pfile6,2,3,87,1,44.334,2.1,41.74,0.47,0.024,0.781449,0.00307795,0
freecell.pddl.0p_0a_2d.0,pfile7,2,1,204,0.25,62.402,2.35,59.79,0.25,0.012,0.98783,0.0021383,0
freecell.pddl.0p_0a_2d.0,pfile8,2,1,139,0.25,40.212,2.13,37.7,0.37,0.012,0.995495,0.001644,0
freecell.pddl.0p_0a_2d.0,pfile8,2,2,106,0.5,62.514,3.52,58.4,0.57,0.024,0.940919,0.00160729,0
freecell.pddl.0p_0a_2d.0,pfile9,2,1,83,0.25,16.252,1.04,15.02,0.18,0.012,1,0.00205689,0
freecell.pddl.0p_0a_2d.0,pfile10,2,1,148,0.25,75.792,4.15,69.05,2.58,0.012,0.995696,0.00125869,0
freecell.pddl.0p_0a_2d.0,pfile10,2,2,256,0.5,423.644,16.49,393.66,13.47,0.024,0.679539,0.00119487,0
freecell.pddl.0p_0a_3d.0,pfile1,3,1,11,1,0.01,0,0,0.01,0,1,0.0611555,0
freecell.pddl.0p_0a_3d.0,pfile2,3,1,25,0.125,0.372,0.01,0.35,0,0.012,1,0.0120751,0
freecell.pddl.0p_0a_3d.0,pfile2,3,2,18,0.5,0.694,0.01,0.65,0.01,0.024,0.918699,0.0142128,0
freecell.pddl.0p_0a_3d.0,pfile2,3,3,29,1,1.074,0.03,1.01,0.01,0.024,0.788321,0.0114635,0
freecell.pddl.0p_0a_3d.0,pfile3,3,1,26,0.5,0.282,0.02,0.24,0.01,0.012,1,0.0115895,0
freecell.pddl.0p_0a_3d.0,pfile3,3,2,23,1,0.462,0.02,0.42,0.01,0.012,0.8875,0.0136344,0
freecell.pddl.0p_0a_3d.0,pfile4,3,1,36,0.5,0.962,0.01,0.94,0,0.012,1,0.00540917,0
freecell.pddl.0p_0a_3d.0,pfile4,3,2,40,1,2.572,0.08,2.48,0,0.012,0.71875,0.00600062,0
freecell.pddl.0p_0a_3d.0,pfile5,3,1,108,0.125,58.302,2.19,55.67,0.43,0.012,0.843036,0.00347598,0
freecell.pddl.0p_0a_3d.0,pfile5,3,2,70,0.25,63.274,2.47,60.28,0.5,0.024,0.855114,0.00373273,0
freecell.pddl.0p_0a_3d.0,pfile5,3,3,107,0.5,94.526,3.56,89.84,1.09,0.036,0.576102,0.00551452,0
freecell.pddl.0p_0a_3d.0,pfile6,3,1,103,0.125,81.132,4.51,75.92,0.69,0.012,0.869875,0.0024853,0
freecell.pddl.0p_0a_3d.0,pfile6,3,2,79,0.5,92.434,5.26,86.27,0.88,0.024,0.941718,0.00240106,0
freecell.pddl.0p_0a_3d.0,pfile6,3,3,74,1,131.184,9.24,120.63,1.29,0.024,0.432825,0.00270033,0
freecell.pddl.0p_0a_3d.0,pfile7,3,1,121,0.125,25.282,1.67,23.38,0.22,0.012,0.985102,0.00201209,0
freecell.pddl.0p_0a_3d.0,pfile8,3,1,116,0.125,344.722,16.19,325.56,2.96,0.012,0.901651,0.00162899,0
freecell.pddl.0p_0a_3d.0,pfile9,3,1,82,0.125,79.982,5.06,73.91,1,0.012,0.900183,0.00212733,0
freecell.pddl.0p_0a_3d.0,pfile10,3,1,170,0.125,64.172,3.17,58.91,2.08,0.012,0.990933,0.00191399,0
