#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
rover.pddl.0p_0a_1d.0,pfile1,1,1,12,0.5,0.012998,0,0,0,0.012998
rover.pddl.0p_0a_1d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_1d.0,pfile3,1,1,12,0.5,0.012997,0,0,0,0.012997
rover.pddl.0p_0a_1d.0,pfile3,1,2,14,1,0.022997,0,0.01,0,0.012997
rover.pddl.0p_0a_1d.0,pfile4,1,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile5,1,1,25,0.5,0.043997,0.02,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile6,1,1,59,0.5,0.223997,0.01,0.2,0,0.013997
rover.pddl.0p_0a_1d.0,pfile7,1,1,18,0.5,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_1d.0,pfile8,1,1,28,0.5,0.083997,0.02,0.05,0,0.013997
rover.pddl.0p_0a_1d.0,pfile9,1,1,42,0.5,0.193997,0.02,0.16,0,0.013997
rover.pddl.0p_0a_1d.0,pfile10,1,1,44,0.5,0.153997,0,0.14,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,1,9,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,2,16,1,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,1,7,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,2,8,0.5,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile2,2,3,8,1,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile3,2,1,15,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile3,2,2,20,1,0.043997,0,0.03,0,0.013997
rover.pddl.0p_0a_2d.0,pfile4,2,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_2d.0,pfile5,2,1,25,0.25,0.043997,0,0.02,0.01,0.013997
rover.pddl.0p_0a_2d.0,pfile5,2,2,23,0.5,0.097994,0,0.06,0.01,0.027994
rover.pddl.0p_0a_2d.0,pfile7,2,1,16,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile7,2,2,25,1,4.034,0.05,3.91,0.06,0.013997
rover.pddl.0p_0a_2d.0,pfile8,2,1,32,0.25,0.113997,0,0.09,0.01,0.013997
rover.pddl.0p_0a_2d.0,pfile8,2,2,54,0.5,5.43799,0.13,5.24,0.04,0.027994
rover.pddl.0p_0a_2d.0,pfile8,2,3,35,1,5.57799,0.14,5.37,0.04,0.027994
rover.pddl.0p_0a_3d.0,pfile1,3,1,34,0.125,0.113997,0.03,0.07,0,0.013997
rover.pddl.0p_0a_3d.0,pfile1,3,2,24,0.25,0.177994,0.03,0.12,0,0.027994
rover.pddl.0p_0a_3d.0,pfile1,3,3,10,1,0.187994,0.03,0.13,0,0.027994
rover.pddl.0p_0a_3d.0,pfile2,3,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile3,3,1,16,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_3d.0,pfile3,3,2,13,1,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_3d.0,pfile4,3,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile5,3,1,23,0.5,0.043997,0,0.03,0,0.013997
rover.pddl.0p_0a_3d.0,pfile6,3,1,47,0.25,0.243997,0.01,0.22,0,0.013997
rover.pddl.0p_0a_3d.0,pfile6,3,2,39,0.5,0.417994,0.02,0.37,0,0.027994
rover.pddl.0p_0a_3d.0,pfile7,3,1,18,0.5,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_3d.0,pfile7,3,2,20,1,0.073997,0.01,0.04,0.01,0.013997
rover.pddl.0p_0a_3d.0,pfile8,3,1,30,0.5,0.183997,0.01,0.12,0.04,0.013997
rover.pddl.0p_0a_3d.0,pfile9,3,1,72,0.25,1.874,0.08,1.73,0.05,0.013997
rover.pddl.0p_0a_3d.0,pfile9,3,2,35,0.5,2.076,0.08,1.91,0.06,0.025995
rover.pddl.0p_0a_3d.0,pfile10,3,1,53,0.25,0.373997,0.03,0.32,0.01,0.013997
rover.pddl.0p_0a_3d.0,pfile10,3,2,39,0.5,0.617994,0.06,0.52,0.01,0.027994
rover.pddl.0p_0a_4d.0,pfile1,4,1,9,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_4d.0,pfile2,4,1,7,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_4d.0,pfile3,4,1,12,0.25,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_4d.0,pfile3,4,2,16,0.5,0.067994,0,0.04,0,0.027994
rover.pddl.0p_0a_4d.0,pfile3,4,3,15,1,0.087994,0,0.06,0,0.027994
rover.pddl.0p_0a_4d.0,pfile4,4,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_4d.0,pfile4,4,2,8,1,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_4d.0,pfile5,4,1,21,0.125,0.043997,0,0.03,0,0.013997
rover.pddl.0p_0a_4d.0,pfile7,4,1,16,0.25,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_4d.0,pfile7,4,2,19,0.5,4.94799,0.08,4.81,0.03,0.027994
rover.pddl.0p_0a_4d.0,pfile8,4,1,29,0.125,15.634,0.23,15.34,0.05,0.013997
rover.pddl.0p_0a_4d.0,pfile10,4,1,41,0.125,9.264,0.15,9.06,0.04,0.013997
rover.pddl.0p_0a_5d.0,pfile1,5,1,14,0.125,0.022997,0,0.01,0,0.012997
rover.pddl.0p_0a_5d.0,pfile1,5,2,24,0.25,0.065994,0,0.04,0,0.025994
rover.pddl.0p_0a_5d.0,pfile2,5,1,8,0.0625,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_5d.0,pfile2,5,2,10,0.25,0.037994,0,0.01,0,0.027994
rover.pddl.0p_0a_5d.0,pfile3,5,1,12,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_5d.0,pfile3,5,2,13,0.5,0.047994,0,0.02,0,0.027994
rover.pddl.0p_0a_5d.0,pfile3,5,3,12,1,0.057994,0,0.03,0,0.027994
rover.pddl.0p_0a_5d.0,pfile4,5,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_5d.0,pfile5,5,1,27,0.03125,0.073997,0.01,0.04,0.01,0.013997
rover.pddl.0p_0a_5d.0,pfile5,5,2,24,0.0625,0.137994,0.02,0.08,0.01,0.027994
rover.pddl.0p_0a_5d.0,pfile6,5,1,47,0.03125,0.253997,0.01,0.22,0.01,0.013997
rover.pddl.0p_0a_5d.0,pfile6,5,2,47,0.0625,0.557994,0.02,0.5,0.01,0.027994
rover.pddl.0p_0a_5d.0,pfile7,5,1,18,0.0625,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_0a_5d.0,pfile7,5,2,20,0.125,0.077994,0.02,0.02,0.01,0.027994
rover.pddl.0p_0a_5d.0,pfile7,5,3,25,0.25,0.171991,0.03,0.09,0.01,0.041991
rover.pddl.0p_0a_5d.0,pfile8,5,1,35,0.03125,0.143997,0.02,0.11,0,0.013997
rover.pddl.0p_0a_5d.0,pfile8,5,2,43,0.0625,0.487994,0.03,0.41,0.02,0.027994
rover.pddl.0p_0a_5d.0,pfile8,5,3,28,0.25,0.611991,0.04,0.51,0.02,0.041991
rover.pddl.0p_0a_5d.0,pfile9,5,1,40,0.0625,0.253997,0.04,0.19,0.01,0.013997
rover.pddl.0p_0a_5d.0,pfile10,5,1,39,0.03125,0.213997,0,0.2,0,0.013997
rover.pddl.0p_0a_5d.0,pfile10,5,2,45,0.0625,0.437994,0.01,0.4,0,0.027994
rover.pddl.0p_1a_0d.0,pfile1,1,1,14,0.5,0.012997,0,0,0,0.012997
rover.pddl.0p_1a_0d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_1a_0d.0,pfile3,1,1,15,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_1a_0d.0,pfile4,1,1,8,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_1a_0d.0,pfile5,1,1,23,0.5,0.033997,0,0.02,0,0.013997
rover.pddl.0p_1a_0d.0,pfile6,1,1,42,0.5,0.132998,0.04,0.08,0,0.012998
rover.pddl.0p_1a_0d.0,pfile7,1,1,26,0.5,0.054997,0.01,0.03,0,0.014997
rover.pddl.0p_1a_0d.0,pfile8,1,1,32,0.5,0.123997,0,0.11,0,0.013997
rover.pddl.0p_1a_0d.0,pfile9,1,1,52,0.5,0.242997,0.01,0.22,0,0.012997
rover.pddl.0p_1a_0d.0,pfile10,1,1,49,0.5,0.143997,0.02,0.1,0.01,0.013997
rover.pddl.0p_1a_1d.0,pfile1,2,1,10,1,0,0,0,0,0
rover.pddl.0p_1a_1d.0,pfile2,2,1,8,1,0,0,0,0,0
rover.pddl.0p_1a_1d.0,pfile3,2,1,16,0.5,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_1a_1d.0,pfile3,2,2,12,1,0.053997,0.01,0.03,0,0.013997
rover.pddl.0p_1a_1d.0,pfile4,2,1,8,1,0,0,0,0,0
rover.pddl.0p_1a_1d.0,pfile7,2,1,20,0.5,0.043997,0,0.03,0,0.013997
rover.pddl.0p_1a_1d.0,pfile7,2,2,18,1,0.253997,0.03,0.21,0,0.013997
rover.pddl.0p_1a_2d.0,pfile1,3,1,11,0.5,0.023997,0.01,0,0,0.013997
rover.pddl.0p_1a_2d.0,pfile1,3,2,10,1,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_1a_2d.0,pfile2,3,1,7,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_1a_2d.0,pfile2,3,2,8,1,0.013997,0,0,0,0.013997
rover.pddl.0p_1a_2d.0,pfile3,3,1,13,1,0.01,0,0,0.01,0
rover.pddl.0p_1a_2d.0,pfile4,3,1,8,1,0,0,0,0,0
rover.pddl.0p_1a_2d.0,pfile7,3,1,16,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_1a_2d.0,pfile8,3,1,27,0.5,0.093997,0,0.08,0,0.013997
rover.pddl.0p_1a_3d.0,pfile1,4,1,10,1,0,0,0,0,0
rover.pddl.0p_1a_3d.0,pfile2,4,1,8,1,0,0,0,0,0
rover.pddl.0p_1a_3d.0,pfile3,4,1,13,1,0.01,0,0.01,0,0
rover.pddl.0p_1a_3d.0,pfile4,4,1,8,1,0,0,0,0,0
rover.pddl.0p_1a_4d.0,pfile1,5,1,12,0.0625,0.033997,0.02,0,0,0.013997
rover.pddl.0p_1a_4d.0,pfile1,5,2,14,0.125,0.087994,0.02,0.04,0,0.027994
rover.pddl.0p_1a_4d.0,pfile2,5,1,8,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_1a_4d.0,pfile2,5,2,8,0.5,0.037994,0.01,0,0,0.027994
rover.pddl.0p_1a_4d.0,pfile3,5,1,11,0.0625,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_1a_4d.0,pfile3,5,2,13,0.125,0.077994,0.01,0.04,0,0.027994
rover.pddl.0p_1a_4d.0,pfile3,5,3,11,0.25,0.350991,0.01,0.3,0,0.040991
rover.pddl.0p_1a_4d.0,pfile4,5,1,8,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_1a_4d.0,pfile5,5,1,22,0.03125,0.093997,0.01,0.07,0,0.013997
rover.pddl.0p_1a_4d.0,pfile6,5,1,35,0.03125,0.263997,0.03,0.22,0,0.013997
rover.pddl.0p_1a_4d.0,pfile7,5,1,19,0.0625,0.073997,0,0.06,0,0.013997
rover.pddl.0p_1a_4d.0,pfile7,5,2,18,0.125,0.187994,0.03,0.12,0.01,0.027994
