#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,0,,,,,,,,,
#use_upper_bound_in_rp:,1,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
rover.pddl.0p_0a_1d.0,pfile1,1,1,20,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_1d.0,pfile3,1,1,11,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile4,1,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile5,1,1,24,0.5,0.043997,0,0.03,0,0.013997
rover.pddl.0p_0a_1d.0,pfile6,1,1,41,0.5,0.133997,0.01,0.09,0.02,0.013997
rover.pddl.0p_0a_1d.0,pfile7,1,1,18,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile8,1,1,39,0.5,0.153997,0,0.14,0,0.013997
rover.pddl.0p_0a_1d.0,pfile9,1,1,39,0.5,0.213997,0.01,0.18,0.01,0.013997
rover.pddl.0p_0a_1d.0,pfile10,1,1,50,0.5,0.193997,0,0.18,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,1,9,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,2,14,1,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,1,7,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,2,8,0.5,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile2,2,3,8,1,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile3,2,1,10,0.5,0.012997,0,0,0,0.012997
rover.pddl.0p_0a_2d.0,pfile3,2,2,12,1,0.022997,0,0.01,0,0.012997
rover.pddl.0p_0a_2d.0,pfile4,2,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_2d.0,pfile5,2,1,21,0.5,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile7,2,1,19,0.25,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_2d.0,pfile7,2,2,18,0.5,2.35799,0.12,2.15,0.06,0.027994
rover.pddl.0p_0a_2d.0,pfile8,2,1,31,0.5,3.884,0.03,3.82,0.02,0.013997
rover.pddl.0p_0a_2d.0,pfile8,2,2,40,1,4.044,0.03,3.97,0.03,0.013997
rover.pddl.0p_0a_3d.0,pfile1,3,1,10,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile2,3,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_3d.0,pfile2,3,2,8,1,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_3d.0,pfile3,3,1,12,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile4,3,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile5,3,1,26,0.25,0.062997,0,0.05,0,0.012997
rover.pddl.0p_0a_3d.0,pfile5,3,2,23,0.5,32.717,0.1,32.58,0.01,0.026994
rover.pddl.0p_0a_3d.0,pfile6,3,1,44,0.25,0.293997,0.01,0.24,0.03,0.013997
rover.pddl.0p_0a_3d.0,pfile6,3,2,40,0.5,0.467994,0.02,0.39,0.03,0.027994
