#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: INCREMENTAL_ROBUSTNESS_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
satellite.pddl.0p_0a_1d.0,pfile1,1,1,9,1,0,0,0,0,0,1,0.242657,-nan
satellite.pddl.0p_0a_1d.0,pfile2,1,1,29,1,0.02,0,0.02,0,0,1,0.273647,-nan
satellite.pddl.0p_0a_1d.0,pfile3,1,1,20,1,0.01,0,0.01,0,0,1,0.199779,-nan
satellite.pddl.0p_0a_1d.0,pfile5,1,1,19,1,0.02,0,0.02,0,0,1,0.154874,-nan
satellite.pddl.0p_0a_1d.0,pfile6,1,1,36,1,0.08,0,0.07,0.01,0,1,0.125822,-nan
satellite.pddl.0p_0a_1d.0,pfile7,1,1,33,1,0.1,0.02,0.08,0,0,1,0.0938055,-nan
satellite.pddl.0p_0a_1d.0,pfile8,1,1,50,1,0.31,0.03,0.28,0,0,1,0.0778243,-nan
satellite.pddl.0p_0a_1d.0,pfile9,1,1,37,1,0.15,0.01,0.14,0,0,1,0.0881204,-nan
satellite.pddl.0p_0a_1d.0,pfile10,1,1,46,1,0.31,0.01,0.28,0.02,0,1,0.0724385,-nan
satellite.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.012998,0,0,0,0.012998,1,0.224473,0
satellite.pddl.0p_0a_2d.0,pfile2,2,1,13,0.5,0.013997,0,0,0,0.013997,1,0.232966,0
satellite.pddl.0p_0a_2d.0,pfile3,2,1,10,0.5,0.013997,0,0,0,0.013997,1,0.24436,0
satellite.pddl.0p_0a_2d.0,pfile5,2,1,14,0.5,0.023997,0,0.01,0,0.013997,1,0.158521,0
satellite.pddl.0p_0a_2d.0,pfile6,2,1,18,0.5,0.053997,0,0.04,0,0.013997,1,0.118587,0
satellite.pddl.0p_0a_2d.0,pfile7,2,1,26,0.5,0.123997,0,0.11,0,0.013997,1,0.0835868,0
satellite.pddl.0p_0a_2d.0,pfile8,2,1,29,0.5,0.183998,0.01,0.16,0,0.013998,1,0.0788213,0
satellite.pddl.0p_0a_2d.0,pfile9,2,1,33,0.5,0.303997,0.01,0.28,0,0.013997,1,0.0740963,0
satellite.pddl.0p_0a_2d.0,pfile10,2,1,36,0.5,0.333997,0.01,0.31,0,0.013997,1,0.0630608,0
