#SEARCH PARAMETERS:
#Initial robustness threshold:	0.01
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: INCREMENTAL_ROBUSTNESS_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,39,1,0.04,0,0.04,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,21,0.5,0.072,0,0.06,0,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile6,2,2,30,1,0.262,0.02,0.23,0,0.012,0.981818
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,43,0.5,0.312,0,0.28,0.02,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile8,2,2,36,1,0.452,0,0.41,0.03,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,53,0.5,0.422,0.06,0.34,0.01,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,38,1,0.622,0.08,0.52,0.01,0.012,0.953333
zenotravel.pddl.0p_0a_4d.0,pfile2,4,1,4,0.5,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_0a_4d.0,pfile4,4,1,6,0.5,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_0a_4d.0,pfile6,4,1,11,0.25,0.032,0.01,0.01,0,0.012,1
zenotravel.pddl.0p_0a_4d.0,pfile8,4,1,17,0.0625,0.202,0,0.19,0,0.012,1
zenotravel.pddl.0p_0a_4d.0,pfile8,4,2,10,0.25,0.244,0,0.22,0,0.024,1
zenotravel.pddl.0p_0a_4d.0,pfile8,4,3,10,0.5,13.006,0.55,12.41,0.01,0.036,0.449553
zenotravel.pddl.0p_0a_4d.0,pfile10,4,1,29,0.125,0.362,0.02,0.33,0,0.012,1
zenotravel.pddl.0p_2a_0d.0,pfile2,2,1,6,0.25,0.012,0,0,0,0.012,0.947368
zenotravel.pddl.0p_2a_0d.0,pfile4,2,1,20,0.25,0.062,0,0.05,0,0.012,0.926829
zenotravel.pddl.0p_2a_0d.0,pfile6,2,1,24,0.25,0.102,0.01,0.08,0,0.012,0.955056
zenotravel.pddl.0p_2a_0d.0,pfile8,2,1,27,0.25,0.452,0.02,0.42,0,0.012,0.96
zenotravel.pddl.0p_2a_0d.0,pfile10,2,1,72,0.25,2.622,0.06,2.55,0,0.012,0.945946
zenotravel.pddl.0p_2a_2d.0,pfile2,4,1,4,0.25,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_2a_2d.0,pfile4,4,1,6,0.25,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_2a_2d.0,pfile6,4,1,13,0.125,0.072,0,0.06,0,0.012,1
zenotravel.pddl.0p_2a_2d.0,pfile6,4,2,11,0.25,0.124,0,0.1,0,0.024,1
zenotravel.pddl.0p_2a_2d.0,pfile8,4,1,10,0.25,0.052,0,0.04,0,0.012,1
zenotravel.pddl.0p_2a_2d.0,pfile10,4,1,31,0.25,0.382,0.06,0.31,0,0.012,1
