#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,6,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,19,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,19,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,24,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,13,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,26,1,0.03,0.01,0.02,0,0
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,27,1,0.09,0,0.09,0,0
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,45,0.5,0.192,0.02,0.16,0,0.012
zenotravel.pddl.0p_0a_1d.0,pfile9,1,2,45,1,0.352,0.04,0.3,0,0.012
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,61,1,0.22,0.02,0.19,0.01,0
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,10,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,11,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,16,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,32,0.5,0.102,0,0.09,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile6,2,2,20,1,0.142,0,0.13,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,26,1,0.04,0,0.04,0,0
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,42,0.5,0.252,0.03,0.2,0.01,0.012
zenotravel.pddl.0p_0a_2d.0,pfile8,2,2,33,1,0.412,0.03,0.35,0.02,0.012
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,51,0.5,0.332,0.02,0.3,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile9,2,2,40,1,0.532,0.02,0.49,0.01,0.012
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,64,0.25,0.472,0.04,0.42,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,121,0.5,1.964,0.15,1.77,0.02,0.024
zenotravel.pddl.0p_0a_2d.0,pfile10,2,3,64,1,3.444,0.26,3.13,0.03,0.024
zenotravel.pddl.0p_0a_3d.0,pfile1,3,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_3d.0,pfile2,3,1,4,0.125,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile2,3,2,5,0.25,0.034,0,0.01,0,0.024
zenotravel.pddl.0p_0a_3d.0,pfile3,3,1,8,0.125,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile3,3,2,8,0.25,0.284,0.02,0.21,0.03,0.024
zenotravel.pddl.0p_0a_3d.0,pfile4,3,1,6,0.125,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile4,3,2,6,0.25,0.414,0.04,0.34,0.01,0.024
zenotravel.pddl.0p_0a_3d.0,pfile5,3,1,11,0.125,0.022,0,0.01,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile5,3,2,11,0.25,0.124,0,0.1,0,0.024
zenotravel.pddl.0p_0a_3d.0,pfile5,3,3,29,0.5,0.956,0.06,0.85,0.01,0.036
zenotravel.pddl.0p_0a_3d.0,pfile6,3,1,16,0.125,0.102,0.01,0.08,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile7,3,1,24,0.5,0.052,0,0.04,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile8,3,1,15,0.25,0.172,0.01,0.14,0.01,0.012
zenotravel.pddl.0p_0a_3d.0,pfile9,3,1,26,0.125,0.152,0.03,0.11,0,0.012
