#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,0,,,,,,,,,
#use_upper_bound_in_rp:,1,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,6,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,9,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,11,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,18,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,13,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,32,1,0.04,0.01,0.01,0.02,0
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,34,1,0.13,0.01,0.11,0.01,0
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,62,1,0.27,0.02,0.25,0,0
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,47,1,0.18,0.03,0.15,0,0
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,16,0.5,0.032,0,0.02,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile3,2,2,9,1,0.052,0,0.04,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,17,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,30,1,0.06,0,0.06,0,0
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,30,0.5,0.112,0.01,0.09,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile6,2,2,21,1,0.162,0.02,0.12,0.01,0.012
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,23,1,0.04,0,0.04,0,0
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,17,0.5,0.112,0.01,0.09,0,0.012
zenotravel.pddl.0p_0a_2d.0,pfile8,2,2,28,1,0.452,0.04,0.39,0.01,0.012
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,50,1,0.26,0.02,0.24,0,0
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,62,0.5,0.532,0.03,0.48,0.01,0.012
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,40,1,1.272,0.1,1.14,0.02,0.012
zenotravel.pddl.0p_0a_3d.0,pfile1,3,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_3d.0,pfile2,3,1,4,0.125,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile3,3,1,6,0.25,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile3,3,2,10,0.5,0.654,0.03,0.6,0,0.024
zenotravel.pddl.0p_0a_3d.0,pfile4,3,1,6,0.25,0.012,0,0,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile5,3,1,11,0.25,0.032,0,0.02,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile5,3,2,23,0.5,103.054,1.13,101.82,0.08,0.024
zenotravel.pddl.0p_0a_3d.0,pfile6,3,1,20,0.125,0.132,0,0.12,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile6,3,2,16,0.25,0.394,0.02,0.35,0,0.024
zenotravel.pddl.0p_0a_3d.0,pfile7,3,1,44,0.5,0.072,0,0.06,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile8,3,1,11,0.125,0.062,0,0.05,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile8,3,2,10,0.25,0.114,0,0.09,0,0.024
zenotravel.pddl.0p_0a_3d.0,pfile8,3,3,36,0.5,3.196,0.19,2.93,0.04,0.036
zenotravel.pddl.0p_0a_3d.0,pfile9,3,1,24,0.125,0.212,0.02,0.18,0,0.012
zenotravel.pddl.0p_0a_3d.0,pfile9,3,2,47,0.25,2.254,0.12,2.1,0.01,0.024
zenotravel.pddl.0p_0a_3d.0,pfile9,3,3,37,0.5,3.156,0.23,2.88,0.01,0.036
