#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: 
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
zenotravel.pddl.4p_4a_4d.0,pfile2,12,1,26,0.000244141,1.272,0.02,1.24,0,0.012,1,0.0606794,1
zenotravel.pddl.4p_4a_4d.0,pfile2,12,2,7,0.00195312,1.424,0.02,1.38,0,0.024,1,0.0593522,1
zenotravel.pddl.4p_4a_4d.0,pfile2,12,3,18,0.00292969,1.696,0.03,1.63,0,0.036,1,0.0870131,1
zenotravel.pddl.4p_4a_4d.0,pfile2,12,4,4,0.015625,1.728,0.03,1.65,0,0.048,1,0.0750112,1
zenotravel.pddl.4p_4a_4d.0,pfile2,12,5,5,0.0234375,2.04,0.04,1.94,0,0.06,0.506329,0.0483326,1
zenotravel.pddl.4p_4a_4d.0,pfile4,12,1,9,0.00390625,0.272,0.02,0.24,0,0.012,1,0.0623044,1
zenotravel.pddl.4p_4a_4d.0,pfile4,12,2,11,0.0078125,2.084,0.11,1.94,0.01,0.024,0.430556,0.064073,1
zenotravel.pddl.4p_4a_4d.0,pfile4,12,3,6,0.015625,4.136,0.2,3.89,0.01,0.036,0.450593,0.0484712,1
zenotravel.pddl.4p_4a_4d.0,pfile6,12,1,79,0.000488281,14.462,0.17,14.26,0.02,0.012,1,0.0427136,1
zenotravel.pddl.4p_4a_4d.0,pfile6,12,2,53,0.000488281,31.074,0.27,30.75,0.03,0.024,1,0.0389031,1
zenotravel.pddl.4p_4a_4d.0,pfile6,12,3,41,0.00146484,36.166,0.35,35.74,0.04,0.036,0.995495,0.0455704,1
zenotravel.pddl.4p_4a_4d.0,pfile6,12,4,28,0.00390625,39.388,0.37,38.92,0.05,0.048,0.907143,0.0423597,1
zenotravel.pddl.4p_4a_4d.0,pfile8,12,1,181,0.000488281,180.132,0.97,179.08,0.07,0.012,1,0.0334825,1
zenotravel.pddl.4p_4a_4d.0,pfile8,12,2,70,0.000976562,651.4,3.06,633.82,0.18,14.34,0.997995,0.040087,1
zenotravel.pddl.4p_4a_4d.0,pfile10,12,1,314,0.000244141,264.672,2.92,261.6,0.14,0.012,1,0.0336382,1
zenotravel.pddl.4p_4a_4d.0,pfile10,12,2,262,0.000488281,463.094,5.28,457.54,0.25,0.024,0.925081,0.03914,1
zenotravel.pddl.4p_4a_4d.0,pfile10,12,3,391,0.000732422,1679.18,16.42,1661.73,0.99,0.036,0.984152,0.0376506,1
zenotravel.pddl.4p_4a_4d.0,pfile10,12,4,211,0.000976562,1782.73,18.73,1762.86,1.09,0.048,0.901235,0.0402393,1
zenotravel.pddl.4p_4a_2d.0,pfile2,10,1,111,0.015625,278.602,2.27,276.16,0.16,0.012,1,0.00293126,1
zenotravel.pddl.4p_4a_2d.0,pfile4,10,1,150,0.0078125,966.862,11.24,954.65,0.96,0.012,1,0.0027287,-nan
zenotravel.pddl.4p_4a_0d.0,pfile2,8,1,3,0.25,0.032,0,0.02,0,0.012,1,0.046905,1
zenotravel.pddl.4p_4a_0d.0,pfile4,8,1,5,0.0625,0.172,0.01,0.15,0,0.012,0.8,0.0444214,1
zenotravel.pddl.4p_4a_0d.0,pfile4,8,2,9,0.125,3.164,0.15,2.98,0.01,0.024,0.636842,0.0243164,1
zenotravel.pddl.4p_4a_0d.0,pfile6,8,1,15,0.015625,1.252,0.05,1.19,0,0.012,1,0.0247229,1
zenotravel.pddl.4p_4a_0d.0,pfile6,8,2,9,0.125,1.544,0.06,1.46,0,0.024,1,0.0266785,1
zenotravel.pddl.4p_4a_0d.0,pfile6,8,3,9,0.25,3.366,0.15,3.15,0.03,0.036,0.310345,0.0184809,-nan
zenotravel.pddl.4p_4a_0d.0,pfile8,8,1,9,0.125,0.852,0.03,0.81,0,0.012,1,0.0193982,-nan
zenotravel.pddl.4p_4a_0d.0,pfile8,8,2,8,0.25,10.564,0.8,9.71,0.03,0.024,0.262626,0.00727404,1
zenotravel.pddl.4p_4a_0d.0,pfile10,8,1,34,0.00390625,7.882,0.36,7.5,0.01,0.012,0.965278,0.0222385,1
zenotravel.pddl.4p_4a_0d.0,pfile10,8,2,31,0.015625,12.644,0.5,12.09,0.03,0.024,0.897638,0.0309224,1
zenotravel.pddl.4p_4a_0d.0,pfile10,8,3,30,0.03125,16.216,0.67,15.46,0.05,0.036,0.786325,0.0284873,1
zenotravel.pddl.4p_4a_0d.0,pfile10,8,4,19,0.125,52.528,2.9,49.3,0.28,0.048,0.273187,0.0176972,1
zenotravel.pddl.4p_2a_4d.0,pfile2,10,1,3,0.0625,0.062,0.02,0.03,0,0.012,1,0.0320559,1
zenotravel.pddl.4p_2a_4d.0,pfile2,10,2,3,0.125,0.104,0.02,0.06,0,0.024,0.875,0.0283762,1
zenotravel.pddl.4p_2a_4d.0,pfile2,10,3,3,0.25,1.216,0.06,1.12,0,0.036,0.510204,0.0149174,1
zenotravel.pddl.4p_2a_4d.0,pfile4,10,1,4,0.0625,0.052,0,0.04,0,0.012,1,0.0377788,-nan
zenotravel.pddl.4p_2a_4d.0,pfile4,10,2,4,0.125,0.454,0.08,0.35,0,0.024,0.75,0.00959922,1
zenotravel.pddl.4p_2a_4d.0,pfile4,10,3,11,0.1875,2.056,0.21,1.79,0.02,0.036,0.520833,0.0152179,1
zenotravel.pddl.4p_2a_4d.0,pfile4,10,4,4,0.25,2.618,0.24,2.31,0.02,0.048,0.416667,0.0143142,1
zenotravel.pddl.4p_2a_4d.0,pfile6,10,1,5,0.125,0.052,0,0.04,0,0.012,1,0.0431481,-nan
zenotravel.pddl.4p_2a_4d.0,pfile6,10,2,6,0.25,0.344,0.04,0.28,0,0.024,0.882353,0.0184347,-nan
zenotravel.pddl.4p_2a_4d.0,pfile8,10,1,6,0.125,0.342,0.02,0.31,0,0.012,1,0.0178605,1
zenotravel.pddl.4p_2a_4d.0,pfile8,10,2,6,0.25,2.404,0.29,2.08,0.01,0.024,0.652174,0.00749062,1
zenotravel.pddl.4p_2a_4d.0,pfile10,10,1,11,0.03125,0.752,0.08,0.66,0,0.012,1,0.0179822,1
zenotravel.pddl.4p_2a_4d.0,pfile10,10,2,11,0.125,1.534,0.19,1.29,0.03,0.024,1,0.0194146,1
