#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
depots.pddl.0p_0a_1d.0,pfile1,1,1,10,1,0,0,0,0,0
depots.pddl.0p_0a_1d.0,pfile2,1,1,14,0.5,0.023997,0,0.01,0,0.013997
depots.pddl.0p_0a_1d.0,pfile3,1,1,46,0.5,0.073997,0.01,0.05,0,0.013997
depots.pddl.0p_0a_1d.0,pfile5,1,1,634,0.5,13.104,1.54,11.1,0.45,0.013997
depots.pddl.0p_0a_1d.0,pfile7,1,1,24,0.5,0.033997,0,0.02,0,0.013997
depots.pddl.0p_0a_1d.0,pfile8,1,1,89,0.5,0.283997,0.03,0.24,0,0.013997
depots.pddl.0p_0a_1d.0,pfile9,1,1,298,0.5,27.864,3.26,23.22,1.37,0.013997
depots.pddl.0p_0a_1d.0,pfile10,1,1,38,0.5,0.082998,0.01,0.05,0.01,0.012998
depots.pddl.0p_0a_2d.0,pfile1,2,1,10,0.5,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_2d.0,pfile2,2,1,15,0.5,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_2d.0,pfile3,2,1,100,0.25,0.263997,0.01,0.22,0.02,0.013997
depots.pddl.0p_0a_2d.0,pfile4,2,1,18,0.25,0.033997,0,0.02,0,0.013997
depots.pddl.0p_0a_2d.0,pfile5,2,1,163,0.25,4.474,0.48,3.87,0.11,0.013997
depots.pddl.0p_0a_2d.0,pfile7,2,1,63,0.25,0.113997,0,0.09,0.01,0.013997
depots.pddl.0p_0a_2d.0,pfile8,2,1,365,0.25,2.484,0.34,2,0.13,0.013997
depots.pddl.0p_0a_2d.0,pfile10,2,1,30,0.25,0.073998,0.01,0.05,0,0.013998
depots.pddl.0p_0a_3d.0,pfile1,3,1,10,0.25,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_3d.0,pfile2,3,1,15,0.25,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_3d.0,pfile3,3,1,76,0.25,0.183997,0.02,0.15,0,0.013997
depots.pddl.0p_0a_3d.0,pfile7,3,1,37,0.25,0.073997,0,0.04,0.02,0.013997
depots.pddl.0p_0a_3d.0,pfile8,3,1,111,0.25,0.503997,0.08,0.36,0.05,0.013997
depots.pddl.0p_0a_3d.0,pfile10,3,1,86,0.25,0.283997,0.01,0.24,0.02,0.013997
depots.pddl.0p_0a_4d.0,pfile1,4,1,10,0.25,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_4d.0,pfile2,4,1,14,0.125,0.023997,0,0,0.01,0.013997
depots.pddl.0p_0a_4d.0,pfile3,4,1,270,0.0625,0.653997,0.08,0.5,0.06,0.013997
depots.pddl.0p_0a_4d.0,pfile3,4,2,32,0.125,0.716994,0.08,0.54,0.07,0.026994
depots.pddl.0p_0a_4d.0,pfile5,4,1,378,0.0625,8.244,0.66,7.29,0.28,0.013997
depots.pddl.0p_0a_4d.0,pfile7,4,1,104,0.0625,0.173997,0.01,0.14,0.01,0.013997
depots.pddl.0p_0a_4d.0,pfile8,4,1,48,0.0625,0.213997,0.01,0.16,0.03,0.013997
depots.pddl.0p_0a_4d.0,pfile8,4,2,51,0.125,0.467994,0.04,0.33,0.07,0.027994
depots.pddl.0p_0a_4d.0,pfile9,4,1,490,0.0625,45.104,3.61,40.26,1.22,0.013997
depots.pddl.0p_0a_4d.0,pfile10,4,1,32,0.0625,0.093997,0.02,0.06,0,0.013997
depots.pddl.0p_0a_4d.0,pfile10,4,2,35,0.125,0.187994,0.02,0.14,0,0.027994
depots.pddl.0p_0a_5d.0,pfile1,5,1,10,0.25,0.013997,0,0,0,0.013997
depots.pddl.0p_0a_5d.0,pfile2,5,1,15,0.25,0.023997,0.01,0,0,0.013997
depots.pddl.0p_0a_5d.0,pfile3,5,1,73,0.03125,0.243997,0.02,0.21,0,0.013997
depots.pddl.0p_0a_5d.0,pfile3,5,2,74,0.0625,4.82699,0.21,4.35,0.24,0.026995
depots.pddl.0p_0a_5d.0,pfile4,5,1,67,0.0625,0.133997,0.01,0.1,0.01,0.013997
depots.pddl.0p_0a_5d.0,pfile5,5,1,300,0.03125,2.344,0.17,2.08,0.08,0.013997
depots.pddl.0p_0a_5d.0,pfile5,5,2,62,0.0625,2.64799,0.2,2.32,0.1,0.027994
depots.pddl.0p_0a_5d.0,pfile6,5,1,394,0.03125,7.324,0.52,6.49,0.3,0.013997
depots.pddl.0p_0a_5d.0,pfile7,5,1,94,0.03125,0.203997,0.02,0.14,0.03,0.013997
depots.pddl.0p_0a_5d.0,pfile7,5,2,23,0.0625,0.247994,0.02,0.17,0.03,0.027994
depots.pddl.0p_0a_5d.0,pfile8,5,1,61,0.03125,0.273997,0.01,0.24,0.01,0.013997
depots.pddl.0p_0a_5d.0,pfile8,5,2,46,0.0625,0.457994,0.03,0.37,0.03,0.027994
depots.pddl.0p_0a_5d.0,pfile9,5,1,358,0.03125,7.604,0.7,6.62,0.27,0.013997
depots.pddl.0p_0a_5d.0,pfile10,5,1,33,0.03125,0.123998,0.01,0.09,0.01,0.013998
depots.pddl.0p_0a_5d.0,pfile10,5,2,29,0.0625,0.207995,0.01,0.14,0.03,0.027995
depots.pddl.0p_1a_0d.0,pfile1,1,1,10,1,0,0,0,0,0
depots.pddl.0p_1a_0d.0,pfile2,1,1,15,1,0,0,0,0,0
depots.pddl.0p_1a_0d.0,pfile3,1,1,254,0.5,0.753997,0.07,0.64,0.03,0.013997
depots.pddl.0p_1a_0d.0,pfile7,1,1,30,0.5,0.053997,0.01,0.03,0,0.013997
depots.pddl.0p_1a_0d.0,pfile8,1,1,108,0.5,0.333998,0.04,0.25,0.03,0.013998
depots.pddl.0p_1a_0d.0,pfile10,1,1,52,0.5,0.153997,0.03,0.1,0.01,0.013997
depots.pddl.0p_1a_1d.0,pfile1,2,1,10,0.5,0.023997,0,0.01,0,0.013997
depots.pddl.0p_1a_1d.0,pfile2,2,1,15,0.5,0.013997,0,0,0,0.013997
depots.pddl.0p_1a_1d.0,pfile3,2,1,252,0.25,0.763997,0.05,0.66,0.04,0.013997
depots.pddl.0p_1a_1d.0,pfile3,2,2,86,0.5,0.997994,0.07,0.86,0.04,0.027994
depots.pddl.0p_1a_1d.0,pfile7,2,1,69,0.25,0.113997,0.01,0.08,0.01,0.013997
depots.pddl.0p_1a_1d.0,pfile7,2,2,77,0.5,0.927994,0.06,0.78,0.06,0.027994
depots.pddl.0p_1a_1d.0,pfile8,2,1,201,0.25,1.194,0.14,0.98,0.06,0.013997
depots.pddl.0p_1a_1d.0,pfile8,2,2,60,0.5,2.39799,0.26,1.97,0.14,0.027994
depots.pddl.0p_1a_1d.0,pfile10,2,1,134,0.25,0.403997,0.05,0.32,0.02,0.013997
depots.pddl.0p_1a_1d.0,pfile10,2,2,35,0.5,1.90799,0.22,1.51,0.15,0.027994
depots.pddl.0p_1a_2d.0,pfile1,3,1,10,1,0,0,0,0,0
depots.pddl.0p_1a_2d.0,pfile2,3,1,14,0.5,0.013997,0,0,0,0.013997
depots.pddl.0p_1a_2d.0,pfile3,3,1,56,0.125,0.083997,0,0.05,0.02,0.013997
depots.pddl.0p_1a_2d.0,pfile3,3,2,65,0.25,0.237994,0,0.19,0.02,0.027994
depots.pddl.0p_1a_2d.0,pfile4,3,1,315,0.125,2.424,0.21,2.1,0.1,0.013997
depots.pddl.0p_1a_2d.0,pfile7,3,1,20,0.25,0.033997,0.01,0.01,0,0.013997
depots.pddl.0p_1a_2d.0,pfile8,3,1,41,0.125,0.153997,0,0.13,0.01,0.013997
depots.pddl.0p_1a_2d.0,pfile8,3,2,73,0.5,1.47799,0.1,1.26,0.09,0.027994
depots.pddl.0p_1a_2d.0,pfile10,3,1,39,0.125,0.113997,0.02,0.06,0.02,0.013997
depots.pddl.0p_1a_2d.0,pfile10,3,2,28,0.25,0.187994,0.04,0.1,0.02,0.027994
depots.pddl.0p_1a_3d.0,pfile1,4,1,10,0.125,0.013997,0,0,0,0.013997
depots.pddl.0p_1a_3d.0,pfile1,4,2,10,0.25,0.026994,0,0,0,0.026994
depots.pddl.0p_1a_3d.0,pfile2,4,1,14,0.0625,0.023997,0,0.01,0,0.013997
depots.pddl.0p_1a_3d.0,pfile3,4,1,36,0.0625,0.083997,0.01,0.06,0,0.013997
depots.pddl.0p_1a_3d.0,pfile5,4,1,496,0.0625,25.164,1.5,23.14,0.51,0.013997
depots.pddl.0p_1a_3d.0,pfile7,4,1,40,0.0625,0.063997,0.01,0.04,0,0.013997
depots.pddl.0p_1a_3d.0,pfile8,4,1,57,0.0625,0.253997,0,0.2,0.04,0.013997
depots.pddl.0p_1a_3d.0,pfile9,4,1,416,0.0625,37.253,2.61,33.71,0.92,0.012997
depots.pddl.0p_1a_3d.0,pfile10,4,1,30,0.0625,0.113997,0.02,0.06,0.02,0.013997
depots.pddl.0p_1a_4d.0,pfile1,5,1,10,0.125,0.013997,0,0,0,0.013997
depots.pddl.0p_1a_4d.0,pfile1,5,2,10,0.25,0.026994,0,0,0,0.026994
depots.pddl.0p_1a_4d.0,pfile2,5,1,15,0.125,0.012998,0,0,0,0.012998
depots.pddl.0p_1a_4d.0,pfile2,5,2,16,0.25,0.036995,0.01,0,0,0.026995
depots.pddl.0p_1a_4d.0,pfile3,5,1,42,0.03125,0.103997,0,0.09,0,0.013997
depots.pddl.0p_1a_4d.0,pfile4,5,1,29,0.0625,0.062998,0,0.05,0,0.012998
depots.pddl.0p_1a_4d.0,pfile5,5,1,184,0.03125,9.754,0.72,8.67,0.35,0.013997
depots.pddl.0p_1a_4d.0,pfile6,5,1,661,0.03125,67.094,3.15,61.59,2.34,0.013997
depots.pddl.0p_1a_4d.0,pfile7,5,1,89,0.03125,0.313997,0.02,0.25,0.03,0.013997
depots.pddl.0p_1a_4d.0,pfile7,5,2,21,0.0625,10.088,0.29,9.05,0.72,0.027994
depots.pddl.0p_1a_4d.0,pfile8,5,1,54,0.03125,0.243997,0.01,0.19,0.03,0.013997
depots.pddl.0p_1a_4d.0,pfile8,5,2,58,0.0625,0.487994,0.05,0.36,0.05,0.027994
depots.pddl.0p_1a_4d.0,pfile9,5,1,219,0.03125,15.264,0.96,13.74,0.55,0.013997
depots.pddl.0p_1a_4d.0,pfile10,5,1,24,0.0625,0.064997,0.02,0.03,0,0.014997
depots.pddl.0p_1a_4d.0,pfile10,5,2,33,0.125,0.178994,0.03,0.12,0,0.028994
depots.pddl.0p_1a_5d.0,pfile1,6,1,10,0.0625,0.013997,0,0,0,0.013997
depots.pddl.0p_1a_5d.0,pfile2,6,1,18,0.015625,0.023997,0,0.01,0,0.013997
