#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
driverlog.pddl.0p_0a_1d.0,pfile1,1,1,8,1,0,0,0,0,0
driverlog.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0
driverlog.pddl.0p_0a_1d.0,pfile5,1,1,26,1,0.01,0,0.01,0,0
driverlog.pddl.0p_0a_1d.0,pfile7,1,1,20,0.5,0.023997,0.01,0,0,0.013997
driverlog.pddl.0p_0a_1d.0,pfile7,1,2,28,1,0.033997,0.01,0.01,0,0.013997
driverlog.pddl.0p_0a_1d.0,pfile10,1,1,19,0.5,0.023997,0,0,0.01,0.013997
driverlog.pddl.0p_0a_1d.0,pfile10,1,2,29,1,0.043997,0,0.02,0.01,0.013997
driverlog.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.013997,0,0,0,0.013997
driverlog.pddl.0p_0a_2d.0,pfile3,2,1,13,0.25,0.013997,0,0,0,0.013997
driverlog.pddl.0p_0a_2d.0,pfile5,2,1,26,0.25,0.023997,0,0.01,0,0.013997
driverlog.pddl.0p_0a_2d.0,pfile7,2,1,25,0.25,0.023997,0,0.01,0,0.013997
driverlog.pddl.0p_0a_2d.0,pfile10,2,1,18,0.25,0.013997,0,0,0,0.013997
driverlog.pddl.0p_0a_3d.0,pfile1,3,1,8,0.5,0.013997,0,0,0,0.013997
