#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
freecell.pddl.0p_0a_1d.0,pfile1,1,1,9,1,0,0,0,0,0
freecell.pddl.0p_0a_1d.0,pfile2,1,1,19,1,0.04,0,0.03,0.01,0
freecell.pddl.0p_0a_1d.0,pfile3,1,1,20,1,0.04,0.01,0.03,0,0
freecell.pddl.0p_0a_1d.0,pfile4,1,1,35,1,0.19,0.03,0.14,0.02,0
freecell.pddl.0p_0a_1d.0,pfile5,1,1,62,1,1.04,0.16,0.87,0.01,0
freecell.pddl.0p_0a_1d.0,pfile6,1,1,62,1,1.51,0.23,1.28,0,0
freecell.pddl.0p_0a_1d.0,pfile7,1,1,161,1,20.56,2.67,17.35,0.54,0
freecell.pddl.0p_0a_1d.0,pfile8,1,1,92,1,3.41,0.58,2.73,0.1,0
freecell.pddl.0p_0a_1d.0,pfile9,1,1,212,1,11.42,1.95,9.18,0.29,0
freecell.pddl.0p_0a_1d.0,pfile10,1,1,84,1,5.2,0.95,4.13,0.12,0
freecell.pddl.0p_0a_2d.0,pfile1,2,1,10,0.5,0.013997,0,0,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile1,2,2,8,1,0.023997,0,0.01,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile2,2,1,16,0.5,0.043997,0,0.03,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile2,2,2,17,1,0.083997,0.01,0.06,0,0.013997
