#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,0,,,,,,,,,
#use_upper_bound_in_rp:,1,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
freecell.pddl.0p_0a_1d.0,pfile1,1,1,9,1,0,0,0,0,0
freecell.pddl.0p_0a_1d.0,pfile2,1,1,18,1,0.03,0,0.03,0,0
freecell.pddl.0p_0a_1d.0,pfile3,1,1,23,1,0.05,0,0.04,0.01,0
freecell.pddl.0p_0a_1d.0,pfile4,1,1,34,1,0.22,0.03,0.17,0.02,0
freecell.pddl.0p_0a_1d.0,pfile5,1,1,89,1,1.45,0.16,1.22,0.07,0
freecell.pddl.0p_0a_1d.0,pfile6,1,1,61,1,1.31,0.3,0.97,0.04,0
freecell.pddl.0p_0a_1d.0,pfile7,1,1,133,1,3.78,0.59,3.12,0.07,0
freecell.pddl.0p_0a_1d.0,pfile8,1,1,79,1,3.5,0.65,2.81,0.04,0
freecell.pddl.0p_0a_1d.0,pfile9,1,1,75,1,3.07,0.5,2.45,0.12,0
freecell.pddl.0p_0a_1d.0,pfile10,1,1,116,1,9.62,1.74,7.6,0.28,0
freecell.pddl.0p_0a_2d.0,pfile1,2,1,10,0.5,0.013997,0,0,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile1,2,2,11,1,0.023997,0,0.01,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile2,2,1,15,0.5,0.053997,0,0.04,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile2,2,2,20,1,0.103997,0.02,0.07,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile3,2,1,22,0.5,0.103997,0.01,0.08,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile3,2,2,32,1,0.313997,0.02,0.28,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile4,2,1,37,0.25,0.343997,0.03,0.3,0,0.013997
freecell.pddl.0p_0a_2d.0,pfile5,2,1,49,0.5,1.064,0.09,0.91,0.05,0.013997
freecell.pddl.0p_0a_2d.0,pfile5,2,2,45,1,22.034,1.26,20.39,0.37,0.013997
freecell.pddl.0p_0a_2d.0,pfile6,2,1,61,0.25,1.574,0.24,1.26,0.06,0.013997
freecell.pddl.0p_0a_2d.0,pfile6,2,2,50,0.5,2.73799,0.43,2.22,0.06,0.027994
freecell.pddl.0p_0a_2d.0,pfile6,2,3,114,1,5.88799,0.67,5.03,0.16,0.027994
freecell.pddl.0p_0a_2d.0,pfile7,2,1,121,0.25,17.543,1.34,15.9,0.29,0.012997
freecell.pddl.0p_0a_2d.0,pfile8,2,1,83,0.25,5.294,0.77,4.44,0.07,0.013997
freecell.pddl.0p_0a_2d.0,pfile8,2,2,66,0.5,9.02699,1.4,7.45,0.15,0.026994
freecell.pddl.0p_0a_2d.0,pfile8,2,3,268,1,52.917,5.94,45.58,1.37,0.026994
freecell.pddl.0p_0a_2d.0,pfile9,2,1,76,0.25,3.764,0.45,3.22,0.08,0.013997
freecell.pddl.0p_0a_2d.0,pfile9,2,2,122,0.5,12.088,1.79,9.87,0.4,0.027994
freecell.pddl.0p_0a_2d.0,pfile9,2,3,92,1,17.178,2.53,14.1,0.52,0.027994
freecell.pddl.0p_0a_2d.0,pfile10,2,1,242,0.25,40.724,5.95,34.07,0.69,0.013997
freecell.pddl.0p_0a_2d.0,pfile10,2,2,89,0.5,97.808,13.31,82.64,1.83,0.027994
freecell.pddl.0p_0a_3d.0,pfile1,3,1,11,1,0.01,0,0.01,0,0
freecell.pddl.0p_0a_3d.0,pfile2,3,1,17,0.5,0.053997,0,0.04,0,0.013997
freecell.pddl.0p_0a_3d.0,pfile2,3,2,16,1,0.083997,0.01,0.06,0,0.013997
freecell.pddl.0p_0a_3d.0,pfile3,3,1,28,0.25,0.143997,0.01,0.11,0.01,0.013997
freecell.pddl.0p_0a_3d.0,pfile3,3,2,29,0.5,0.287994,0.04,0.21,0.01,0.027994
freecell.pddl.0p_0a_3d.0,pfile3,3,3,22,1,0.347994,0.04,0.27,0.01,0.027994
freecell.pddl.0p_0a_3d.0,pfile4,3,1,37,0.5,1.514,0.09,1.18,0.23,0.013997
freecell.pddl.0p_0a_3d.0,pfile4,3,2,35,1,1.764,0.12,1.39,0.24,0.013997
freecell.pddl.0p_0a_3d.0,pfile5,3,1,54,0.125,0.763997,0.11,0.58,0.06,0.013997
freecell.pddl.0p_0a_3d.0,pfile5,3,2,37,0.5,1.32799,0.2,1.03,0.07,0.027994
freecell.pddl.0p_0a_3d.0,pfile5,3,3,56,1,2.18799,0.26,1.8,0.1,0.027994
freecell.pddl.0p_0a_3d.0,pfile6,3,1,56,0.125,1.124,0.1,0.98,0.03,0.013997
freecell.pddl.0p_0a_3d.0,pfile6,3,2,60,0.5,2.49799,0.3,2.11,0.06,0.027994
freecell.pddl.0p_0a_3d.0,pfile6,3,3,51,1,3.98799,0.46,3.4,0.1,0.027994
freecell.pddl.0p_0a_3d.0,pfile7,3,1,106,0.25,4.294,0.66,3.57,0.05,0.013997
freecell.pddl.0p_0a_3d.0,pfile7,3,2,74,0.5,7.10699,1.27,5.73,0.08,0.026995
freecell.pddl.0p_0a_3d.0,pfile8,3,1,129,0.125,32.024,4.17,27.16,0.68,0.013997
freecell.pddl.0p_0a_3d.0,pfile8,3,2,84,0.25,90.498,12.4,76.55,1.52,0.027994
freecell.pddl.0p_0a_3d.0,pfile9,3,1,108,0.125,5.224,0.74,4.3,0.17,0.013997
freecell.pddl.0p_0a_3d.0,pfile10,3,1,122,0.5,11.454,1.79,9.44,0.21,0.013997
freecell.pddl.0p_0a_3d.0,pfile10,3,2,81,1,18.504,2.82,15.31,0.36,0.013997
freecell.pddl.0p_0a_4d.0,pfile1,4,1,10,0.5,0.023997,0.01,0,0,0.013997
freecell.pddl.0p_0a_4d.0,pfile1,4,2,12,1,0.033997,0.01,0,0.01,0.013997
freecell.pddl.0p_0a_4d.0,pfile2,4,1,16,0.5,0.053997,0.03,0.01,0,0.013997
freecell.pddl.0p_0a_4d.0,pfile2,4,2,19,1,0.093997,0.03,0.05,0,0.013997
freecell.pddl.0p_0a_4d.0,pfile3,4,1,22,0.5,0.083997,0,0.07,0,0.013997
freecell.pddl.0p_0a_4d.0,pfile4,4,1,31,0.5,1.394,0.22,1.07,0.09,0.013997
freecell.pddl.0p_0a_4d.0,pfile5,4,1,57,0.25,0.793997,0.14,0.58,0.06,0.013997
freecell.pddl.0p_0a_4d.0,pfile5,4,2,85,0.5,10.448,1.35,8.59,0.48,0.027994
freecell.pddl.0p_0a_4d.0,pfile6,4,1,47,0.25,1.264,0.25,0.96,0.04,0.013997
freecell.pddl.0p_0a_4d.0,pfile6,4,2,57,0.5,14.968,2.35,12.27,0.32,0.027994
freecell.pddl.0p_0a_4d.0,pfile7,4,1,90,0.125,3.294,0.57,2.58,0.13,0.013997
freecell.pddl.0p_0a_4d.0,pfile7,4,2,132,0.25,13.978,2.18,11.2,0.57,0.027994
freecell.pddl.0p_0a_4d.0,pfile8,4,1,137,0.125,11.434,2.09,9.15,0.18,0.013997
freecell.pddl.0p_0a_4d.0,pfile8,4,2,90,0.25,16.048,2.91,12.8,0.31,0.027994
freecell.pddl.0p_0a_4d.0,pfile8,4,3,66,0.5,18.972,3.43,15.04,0.46,0.041991
freecell.pddl.0p_0a_4d.0,pfile9,4,1,114,0.125,6.044,1.02,4.8,0.21,0.013997
freecell.pddl.0p_0a_4d.0,pfile9,4,2,102,0.25,25.728,4.43,20.17,1.1,0.027994
