#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
rover.pddl.0p_0a_1d.0,pfile1,1,1,12,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_1d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile4,1,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile5,1,1,30,0.5,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile6,1,1,40,0.5,0.063997,0.01,0.04,0,0.013997
rover.pddl.0p_0a_1d.0,pfile7,1,1,18,0.5,0.033997,0.01,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile8,1,1,30,0.5,0.053997,0,0.04,0,0.013997
rover.pddl.0p_0a_1d.0,pfile9,1,1,49,0.5,0.083997,0.02,0.04,0.01,0.013997
rover.pddl.0p_0a_1d.0,pfile10,1,1,46,0.5,0.073997,0.01,0.04,0.01,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,1,9,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,2,14,1,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,1,7,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile2,2,2,7,0.5,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile2,2,3,8,1,0.027994,0,0,0,0.027994
rover.pddl.0p_0a_2d.0,pfile3,2,1,13,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile3,2,2,12,1,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile4,2,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_2d.0,pfile5,2,1,22,0.25,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_2d.0,pfile6,2,1,43,0.25,0.053997,0,0.04,0,0.013997
rover.pddl.0p_0a_2d.0,pfile7,2,1,16,0.25,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile8,2,1,25,0.25,0.033997,0,0.02,0,0.013997
rover.pddl.0p_0a_2d.0,pfile8,2,2,31,0.5,0.147994,0.02,0.1,0,0.027994
rover.pddl.0p_0a_2d.0,pfile9,2,1,51,0.25,0.083997,0,0.07,0,0.013997
rover.pddl.0p_0a_2d.0,pfile10,2,1,33,0.25,0.043997,0,0.03,0,0.013997
rover.pddl.0p_0a_3d.0,pfile1,3,1,10,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile2,3,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile3,3,1,12,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile4,3,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_3d.0,pfile5,3,1,23,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_3d.0,pfile6,3,1,48,0.25,0.073997,0.02,0.04,0,0.013997
rover.pddl.0p_0a_3d.0,pfile6,3,2,38,0.5,0.137994,0.04,0.07,0,0.027994
rover.pddl.0p_0a_3d.0,pfile7,3,1,20,0.25,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_3d.0,pfile7,3,2,18,0.5,0.047994,0,0.02,0,0.027994
rover.pddl.0p_0a_3d.0,pfile7,3,3,18,1,0.057994,0,0.03,0,0.027994
rover.pddl.0p_0a_3d.0,pfile8,3,1,28,0.25,0.053997,0,0.04,0,0.013997
rover.pddl.0p_0a_3d.0,pfile8,3,2,27,0.5,0.847994,0.05,0.73,0.04,0.027994
rover.pddl.0p_0a_3d.0,pfile9,3,1,41,0.25,0.093997,0.03,0.05,0,0.013997
rover.pddl.0p_0a_3d.0,pfile10,3,1,47,0.125,0.113997,0.01,0.09,0,0.013997
rover.pddl.0p_0a_3d.0,pfile10,3,2,40,0.25,0.197994,0.02,0.15,0,0.027994
rover.pddl.0p_0a_3d.0,pfile10,3,3,40,0.5,0.301991,0.03,0.22,0.01,0.041991
rover.pddl.0p_0a_4d.0,pfile1,4,1,9,0.25,0.013997,0,0,0,0.013997
