#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,0,,,,,,,,,
#use_upper_bound_in_rp:,1,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
rover.pddl.0p_0a_1d.0,pfile1,1,1,16,0.5,0.013998,0,0,0,0.013998
rover.pddl.0p_0a_1d.0,pfile2,1,1,8,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile4,1,1,8,1,0,0,0,0,0
rover.pddl.0p_0a_1d.0,pfile5,1,1,22,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile6,1,1,41,0.5,0.053997,0.01,0.03,0,0.013997
rover.pddl.0p_0a_1d.0,pfile7,1,1,20,0.5,0.023997,0,0.01,0,0.013997
rover.pddl.0p_0a_1d.0,pfile8,1,1,38,0.5,0.053997,0,0.03,0.01,0.013997
rover.pddl.0p_0a_1d.0,pfile9,1,1,46,0.5,0.073997,0,0.06,0,0.013997
rover.pddl.0p_0a_1d.0,pfile10,1,1,41,0.5,0.073997,0.01,0.04,0.01,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,1,9,0.5,0.013997,0,0,0,0.013997
rover.pddl.0p_0a_2d.0,pfile1,2,2,14,1,0.013997,0,0,0,0.013997
