#SEARCH PARAMETERS:
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: PURE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate
satellite.pddl.0p_0a_1d.0,pfile1,1,1,13,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile2,1,1,14,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile3,1,1,22,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile4,1,1,20,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile5,1,1,19,1,0.01,0.01,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile6,1,1,31,1,0.03,0.01,0,0.02,0,1
satellite.pddl.0p_0a_1d.0,pfile7,1,1,46,1,0.08,0.01,0.07,0,0,1
satellite.pddl.0p_0a_1d.0,pfile8,1,1,36,1,0.08,0.01,0.07,0,0,1
satellite.pddl.0p_0a_1d.0,pfile9,1,1,34,1,0.08,0.01,0.07,0,0,1
satellite.pddl.0p_0a_1d.0,pfile10,1,1,43,1,0.13,0.04,0.09,0,0,1
satellite.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile2,2,1,13,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile3,2,1,10,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile4,2,1,18,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile5,2,1,14,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile6,2,1,19,0.5,0.022,0.01,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile7,2,1,21,0.5,0.032,0.01,0,0.01,0.012,1
satellite.pddl.0p_0a_2d.0,pfile8,2,1,34,0.5,0.082,0.02,0.05,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile9,2,1,34,0.5,0.072,0.01,0.05,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile10,2,1,40,0.5,0.112,0.02,0.08,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile1,3,1,8,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile2,3,1,12,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile3,3,1,10,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile4,3,1,17,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile5,3,1,14,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile6,3,1,18,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile7,3,1,26,0.25,0.042,0,0.03,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile8,3,1,35,0.25,0.072,0.01,0.05,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile9,3,1,32,0.25,0.062,0.04,0.01,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile10,3,1,39,0.25,0.132,0.02,0.1,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile1,4,1,8,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile2,4,1,12,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile3,4,1,10,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile4,4,1,21,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile5,4,1,14,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile6,4,1,18,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile7,4,1,24,0.25,0.032,0.01,0.01,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile8,4,1,28,0.25,0.052,0,0.04,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile9,4,1,32,0.25,0.062,0.01,0.04,0,0.012,1
satellite.pddl.0p_0a_4d.0,pfile10,4,1,34,0.25,0.092,0.02,0.06,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile1,4,1,8,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile2,4,1,15,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile3,4,1,10,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile4,4,1,21,0.5,0.022,0,0,0.01,0.012,1
satellite.pddl.0p_0a_5d.0,pfile5,4,1,15,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile6,4,1,20,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile7,4,1,24,0.25,0.032,0.01,0,0.01,0.012,1
satellite.pddl.0p_0a_5d.0,pfile8,4,1,25,0.25,0.032,0.01,0.01,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile9,4,1,34,0.25,0.072,0,0.06,0,0.012,1
satellite.pddl.0p_0a_5d.0,pfile10,4,1,35,0.25,0.092,0.02,0.06,0,0.012,1
satellite.pddl.0p_1a_0d.0,pfile1,1,1,9,0.5,0.012,0,0,0,0.012,1
