#SEARCH PARAMETERS:
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: PURE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	0
#use_upper_bound_in_rp:	1
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate
satellite.pddl.0p_0a_1d.0,pfile1,1,1,12,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile2,1,1,27,1,0,0,0,0,0,1
satellite.pddl.0p_0a_1d.0,pfile3,1,1,27,1,0.01,0,0.01,0,0,1
satellite.pddl.0p_0a_1d.0,pfile4,1,1,35,1,0.02,0.01,0.01,0,0,1
satellite.pddl.0p_0a_1d.0,pfile5,1,1,33,1,0.03,0,0.03,0,0,1
satellite.pddl.0p_0a_1d.0,pfile6,1,1,26,1,0.02,0,0.02,0,0,1
satellite.pddl.0p_0a_1d.0,pfile7,1,1,40,1,0.07,0,0.07,0,0,1
satellite.pddl.0p_0a_1d.0,pfile8,1,1,41,1,0.11,0.01,0.09,0.01,0,1
satellite.pddl.0p_0a_1d.0,pfile9,1,1,74,1,0.3,0.03,0.27,0,0,1
satellite.pddl.0p_0a_1d.0,pfile10,1,1,41,1,0.14,0.03,0.11,0,0,1
satellite.pddl.0p_0a_2d.0,pfile1,2,1,8,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile2,2,1,12,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile3,2,1,10,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile4,2,1,21,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile5,2,1,14,0.5,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile6,2,1,18,0.5,0.022,0,0.01,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile7,2,1,21,0.5,0.032,0.02,0,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile8,2,1,27,0.5,0.032,0.01,0.01,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile9,2,1,39,0.5,0.102,0.02,0.07,0,0.012,1
satellite.pddl.0p_0a_2d.0,pfile10,2,1,37,0.5,0.112,0.01,0.09,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile1,3,1,8,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile2,3,1,13,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile3,3,1,10,0.25,0.012,0,0,0,0.012,1
satellite.pddl.0p_0a_3d.0,pfile4,3,1,21,0.25,0.012,0,0,0,0.012,1
