#SEARCH PARAMETERS:
#Initial robustness threshold:	0.01
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: PURE_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,6,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,13,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,20,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,22,1,0.01,0,0.01,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,20,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,24,1,0.01,0.01,0,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,26,1,0.03,0,0.03,0,0,1
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,37,1,0.05,0,0.04,0.01,0,1
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,38,1,0.06,0,0.06,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,12,0.5,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile3,2,2,7,1,0.022,0,0.01,0,0.012,0.75
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,16,1,0,0,0,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,18,1,0.01,0,0.01,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,15,1,0.01,0,0.01,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,20,1,0.01,0,0.01,0,0,1
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,85,0.5,0.132,0.03,0.09,0,0.012,1
zenotravel.pddl.0p_0a_2d.0,pfile8,2,2,17,1,0.152,0.03,0.11,0,0.012,0.894737
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,47,0.5,0.092,0.01,0.07,0,0.012,1
