#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,1,,,,,,,,,
#use_upper_bound_in_rp:,0,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,8,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,18,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,13,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,17,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,30,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,34,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,24,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,47,0.5,0.093997,0,0.08,0,0.013997
zenotravel.pddl.0p_0a_1d.0,pfile9,1,2,40,1,0.153997,0.02,0.11,0.01,0.013997
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,74,0.5,0.163997,0,0.15,0,0.013997
zenotravel.pddl.0p_0a_1d.0,pfile10,1,2,49,1,0.243997,0.03,0.19,0.01,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,10,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,7,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,23,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,18,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,19,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,30,1,0.03,0,0.02,0.01,0
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,53,0.5,0.093997,0.02,0.05,0.01,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile8,2,2,39,1,0.153997,0.03,0.1,0.01,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,36,1,0.07,0.01,0.06,0,0
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,40,0.25,0.093997,0.01,0.06,0.01,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,53,0.5,0.417994,0.06,0.31,0.02,0.027994
zenotravel.pddl.0p_0a_3d.0,pfile1,3,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_3d.0,pfile2,3,1,4,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile3,3,1,5,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile4,3,1,6,0.5,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile5,3,1,11,0.125,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile5,3,2,11,0.25,0.077994,0.01,0.04,0,0.027994
zenotravel.pddl.0p_0a_3d.0,pfile6,3,1,11,0.125,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile7,3,1,32,0.5,0.043997,0,0.02,0.01,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile8,3,1,10,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile8,3,2,14,0.5,0.237994,0.01,0.19,0.01,0.027994
