#SEARCH,PARAMETERS:,,,,,,,,,
#Max,restart:,5,,,,,,,,
#Max,iterations:,5,,,,,,,,
#Initial,depth,bound:,10,,,,,,,
#Probes,at,depth:,60,,,,,,,
#Neighborhood,size:,5,,,,,,,,
#Initial,fail,bound:,32,,,,,,,
#Min,heuristic,bias:,0.5,,,,,,,
#Max,heuristic,bias:,1.5,,,,,,,
#,,,,,,,,,,
#RELAXED,PLAN,PARAMETERS:,,,,,,,,
#Relaxed,plan,type:,PURE_FF_RP,,,,,,,
#ignore_poss_del_in_rp:,1,,,,,,,,,
#use_lower_bound_in_rp:,0,,,,,,,,,
#use_upper_bound_in_rp:,1,,,,,,,,,
#use_robustness_threshold:,1,,,,,,,,,
#clauses_from_rpg_for_false_preconditions:,1,,,,,,,,,
#current_actions_affect_candidate_action:,1,,,,,,,,,
#candidate_actions_affect_current_actions:,1,,,,,,,,,
#,,,,,,,,,,
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,8,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,6,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,10,1,0,0,0,0,0
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,28,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,24,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,28,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,44,1,0.04,0.01,0.02,0.01,0
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,74,0.5,0.142998,0.03,0.1,0,0.012998
zenotravel.pddl.0p_0a_1d.0,pfile9,1,2,59,1,0.262998,0.04,0.21,0,0.012998
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,34,0.5,0.063997,0.02,0.03,0,0.013997
zenotravel.pddl.0p_0a_1d.0,pfile10,1,2,42,1,0.283997,0.04,0.23,0,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,6,1,0,0,0,0,0
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,32,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,14,1,0.01,0,0.01,0,0
zenotravel.pddl.0p_0a_2d.0,pfile6,2,1,15,0.5,0.023997,0,0.01,0,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile6,2,2,22,1,0.033997,0,0.02,0,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile7,2,1,52,1,0.04,0.01,0.03,0,0
zenotravel.pddl.0p_0a_2d.0,pfile8,2,1,14,1,0.02,0,0.02,0,0
zenotravel.pddl.0p_0a_2d.0,pfile9,2,1,46,1,0.08,0.01,0.07,0,0
zenotravel.pddl.0p_0a_2d.0,pfile10,2,1,58,0.25,0.123997,0.01,0.1,0,0.013997
zenotravel.pddl.0p_0a_2d.0,pfile10,2,2,45,0.5,0.367994,0.06,0.27,0.01,0.027994
zenotravel.pddl.0p_0a_2d.0,pfile10,2,3,49,1,0.457994,0.06,0.36,0.01,0.027994
zenotravel.pddl.0p_0a_3d.0,pfile1,3,1,1,1,0,0,0,0,0
zenotravel.pddl.0p_0a_3d.0,pfile2,3,1,4,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile3,3,1,5,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile4,3,1,6,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile4,3,2,7,0.5,0.027994,0,0,0,0.027994
zenotravel.pddl.0p_0a_3d.0,pfile5,3,1,11,0.25,0.013997,0,0,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile6,3,1,17,0.125,0.023997,0,0.01,0,0.013997
zenotravel.pddl.0p_0a_3d.0,pfile6,3,2,12,0.25,0.047994,0,0.02,0,0.027994
zenotravel.pddl.0p_0a_3d.0,pfile6,3,3,13,0.5,0.131991,0.03,0.06,0,0.041991
