#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ROBUST_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
zenotravel.pddl.0p_0a_1d.0,pfile1,1,1,1,1,0,0,0,0,0,1,0.692308,-nan
zenotravel.pddl.0p_0a_1d.0,pfile2,1,1,10,1,0,0,0,0,0,1,0.197782,-nan
zenotravel.pddl.0p_0a_1d.0,pfile3,1,1,6,1,0,0,0,0,0,1,0.0907781,-nan
zenotravel.pddl.0p_0a_1d.0,pfile4,1,1,18,1,0.01,0,0.01,0,0,1,0.138318,-nan
zenotravel.pddl.0p_0a_1d.0,pfile5,1,1,12,1,0,0,0,0,0,1,0.0894973,-nan
zenotravel.pddl.0p_0a_1d.0,pfile6,1,1,17,1,0.01,0,0.01,0,0,1,0.0726583,-nan
zenotravel.pddl.0p_0a_1d.0,pfile7,1,1,22,1,0.02,0.01,0.01,0,0,1,0.133165,-nan
zenotravel.pddl.0p_0a_1d.0,pfile8,1,1,28,1,0.08,0,0.08,0,0,1,0.0683813,-nan
zenotravel.pddl.0p_0a_1d.0,pfile9,1,1,40,1,0.1,0.02,0.08,0,0,1,0.0899007,-nan
zenotravel.pddl.0p_0a_1d.0,pfile10,1,1,44,1,0.11,0.01,0.09,0.01,0,1,0.0995447,-nan
zenotravel.pddl.0p_0a_2d.0,pfile1,2,1,1,1,0,0,0,0,0,1,0.692308,-nan
zenotravel.pddl.0p_0a_2d.0,pfile2,2,1,8,1,0,0,0,0,0,1,0.192825,-nan
zenotravel.pddl.0p_0a_2d.0,pfile3,2,1,14,1,0.01,0,0.01,0,0,1,0.0982584,-nan
zenotravel.pddl.0p_0a_2d.0,pfile4,2,1,12,1,0.01,0,0.01,0,0,1,0.14727,-nan
zenotravel.pddl.0p_0a_2d.0,pfile5,2,1,13,1,0.01,0,0.01,0,0,1,0.0919646,-nan
