#SEARCH PARAMETERS:
#Initial robustness threshold:	0
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: ROBUST_FF_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate,rpg_better_supporting_actions_rate,rp_increasing_robustness_rate
zenotravel.pddl.4p_0a_0d.0,pfile1,4,1,1,0.5,0.012998,0,0,0,0.012998,1,0.304094,-nan
zenotravel.pddl.4p_0a_0d.0,pfile1,4,2,1,1,0.012998,0,0,0,0.012998,1,0.441558,-nan
zenotravel.pddl.4p_0a_0d.0,pfile2,4,1,18,0.0625,0.223997,0,0.2,0.01,0.013997,1,0.0416774,-nan
zenotravel.pddl.4p_0a_0d.0,pfile2,4,2,26,0.125,0.676994,0,0.64,0.01,0.026994,0.827586,0.0388365,-nan
zenotravel.pddl.4p_0a_0d.0,pfile2,4,3,5,0.5,0.710991,0,0.66,0.01,0.040991,0.8,0.0374259,-nan
zenotravel.pddl.4p_0a_0d.0,pfile3,4,1,6,0.0625,0.083997,0.01,0.06,0,0.013997,1,0.040144,-nan
zenotravel.pddl.4p_0a_0d.0,pfile3,4,2,6,0.25,0.157994,0.02,0.1,0.01,0.027994,1,0.0459976,-nan
zenotravel.pddl.4p_0a_0d.0,pfile3,4,3,6,0.5,0.501991,0.05,0.4,0.01,0.041991,0.368421,0.0222727,-nan
zenotravel.pddl.4p_0a_0d.0,pfile4,4,1,14,0.125,0.223997,0.02,0.19,0,0.013997,1,0.0515467,-nan
zenotravel.pddl.4p_0a_0d.0,pfile4,4,2,21,0.25,0.726995,0.02,0.68,0,0.026995,0.790909,0.0439016,-nan
zenotravel.pddl.4p_0a_0d.0,pfile4,4,3,9,0.5,1.53099,0.08,1.39,0.02,0.040992,0.317829,0.0243745,-nan
zenotravel.pddl.4p_0a_0d.0,pfile5,4,1,9,0.25,0.073997,0,0.06,0,0.013997,1,0.0398887,-nan
zenotravel.pddl.4p_0a_0d.0,pfile5,4,2,9,0.5,0.187994,0.01,0.15,0,0.027994,0.863636,0.0299257,-nan
zenotravel.pddl.4p_0a_0d.0,pfile6,4,1,11,0.25,0.133997,0.01,0.1,0.01,0.013997,1,0.0312394,-nan
zenotravel.pddl.4p_0a_0d.0,pfile6,4,2,11,0.5,0.477994,0.02,0.42,0.01,0.027994,0.657895,0.0207435,-nan
zenotravel.pddl.4p_0a_0d.0,pfile7,4,1,20,0.0625,0.553997,0.01,0.53,0,0.013997,1,0.0371406,-nan
zenotravel.pddl.4p_0a_0d.0,pfile7,4,2,29,0.125,1.95799,0.09,1.83,0.01,0.027994,0.796053,0.031095,-nan
zenotravel.pddl.4p_0a_0d.0,pfile7,4,3,42,0.25,4.32199,0.16,4.1,0.02,0.041991,0.730435,0.0250451,-nan
zenotravel.pddl.4p_0a_0d.0,pfile7,4,4,9,0.5,4.77599,0.17,4.53,0.02,0.055988,0.533333,0.0187137,-nan
zenotravel.pddl.4p_0a_0d.0,pfile8,4,1,50,0.0625,5.234,0.26,4.94,0.02,0.013997,1,0.0196521,-nan
zenotravel.pddl.4p_0a_0d.0,pfile8,4,2,52,0.25,11.248,0.54,10.65,0.03,0.027994,0.861592,0.0211975,-nan
zenotravel.pddl.4p_0a_0d.0,pfile8,4,3,14,0.5,16.652,0.94,15.62,0.05,0.041991,0.323353,0.00923967,-nan
zenotravel.pddl.4p_0a_0d.0,pfile9,4,1,33,0.0625,2.124,0.14,1.97,0,0.013997,1,0.0207712,-nan
zenotravel.pddl.4p_0a_0d.0,pfile9,4,2,25,0.25,3.24699,0.22,2.98,0.02,0.026994,0.841584,0.0279413,-nan
zenotravel.pddl.4p_0a_0d.0,pfile9,4,3,22,0.5,8.91099,0.66,8.18,0.03,0.040991,0.413613,0.0108925,-nan
zenotravel.pddl.4p_0a_0d.0,pfile10,4,1,60,0.0625,6.633,0.28,6.3,0.04,0.012997,1,0.0176935,-nan
zenotravel.pddl.4p_0a_0d.0,pfile10,4,2,72,0.25,15.017,0.59,14.33,0.07,0.026994,0.873351,0.0189332,-nan
zenotravel.pddl.4p_0a_0d.0,pfile10,4,3,29,0.5,21.871,1.07,20.67,0.09,0.040991,0.386973,0.0124529,-nan
zenotravel.pddl.4p_0a_1d.0,pfile1,5,1,1,0.5,0.013997,0,0,0,0.013997,1,0.214286,-nan
zenotravel.pddl.4p_0a_1d.0,pfile2,5,1,18,0.125,0.243997,0.01,0.22,0,0.013997,1,0.0484273,-nan
zenotravel.pddl.4p_0a_1d.0,pfile2,5,2,15,0.25,0.467994,0.01,0.43,0,0.027994,0.586207,0.0384922,-nan
zenotravel.pddl.4p_0a_1d.0,pfile3,5,1,5,0.125,0.083997,0,0.07,0,0.013997,1,0.0425564,-nan
zenotravel.pddl.4p_0a_1d.0,pfile3,5,2,6,0.25,0.167994,0.01,0.13,0,0.027994,0.75,0.0449785,-nan
zenotravel.pddl.4p_0a_1d.0,pfile4,5,1,7,0.125,0.113997,0,0.09,0.01,0.013997,1,0.0541661,-nan
zenotravel.pddl.4p_0a_1d.0,pfile4,5,2,4,0.25,0.137994,0,0.1,0.01,0.027994,0.888889,0.108095,-nan
zenotravel.pddl.4p_0a_1d.0,pfile5,5,1,5,0.25,0.033997,0,0.02,0,0.013997,1,0.0636574,-nan
zenotravel.pddl.4p_0a_1d.0,pfile6,5,1,5,0.25,0.033997,0,0.02,0,0.013997,1,0.0677184,-nan
zenotravel.pddl.4p_0a_1d.0,pfile7,5,1,12,0.125,0.373997,0.03,0.33,0,0.013997,1,0.0268985,-nan
zenotravel.pddl.4p_0a_1d.0,pfile7,5,2,9,0.25,0.697994,0.05,0.62,0,0.027994,0.675676,0.0240486,-nan
zenotravel.pddl.4p_0a_1d.0,pfile8,5,1,36,0.125,6.514,0.15,6.33,0.02,0.013997,1,0.0163244,-nan
zenotravel.pddl.4p_0a_1d.0,pfile8,5,2,75,0.25,50.567,0.89,49.61,0.04,0.026995,0.500956,0.0118062,-nan
zenotravel.pddl.4p_0a_1d.0,pfile9,5,1,34,0.125,3.704,0.1,3.55,0.04,0.013997,1,0.0166066,-nan
zenotravel.pddl.4p_0a_1d.0,pfile9,5,2,22,0.25,8.53799,0.46,7.95,0.1,0.027994,0.395604,0.0121853,-nan
zenotravel.pddl.4p_0a_1d.0,pfile10,5,1,181,0.125,64.594,0.88,63.58,0.12,0.013997,1,0.0180922,-nan
zenotravel.pddl.4p_0a_1d.0,pfile10,5,2,69,0.25,87.858,1.88,85.71,0.24,0.027994,0.484935,0.0126359,-nan
zenotravel.pddl.4p_0a_2d.0,pfile1,6,1,1,0.5,0.013997,0,0,0,0.013997,1,0.197581,-nan
zenotravel.pddl.4p_0a_2d.0,pfile2,6,1,6,0.0625,0.043997,0,0.03,0,0.013997,1,0.0383831,-nan
zenotravel.pddl.4p_0a_2d.0,pfile2,6,2,12,0.125,0.156994,0,0.13,0,0.026994,1,0.0436108,-nan
zenotravel.pddl.4p_0a_2d.0,pfile3,6,1,17,0.0625,0.553997,0.01,0.52,0.01,0.013997,1,0.0296174,-nan
zenotravel.pddl.4p_0a_2d.0,pfile4,6,1,19,0.03125,0.523997,0.04,0.47,0,0.013997,1,0.0354593,-nan
zenotravel.pddl.4p_0a_2d.0,pfile4,6,2,49,0.0625,4.33799,0.14,4.17,0,0.027994,1,0.0333703,-nan
zenotravel.pddl.4p_0a_2d.0,pfile4,6,3,15,0.125,757.291,1.29,755.85,0.11,0.040991,0.866886,0.0281553,-nan
zenotravel.pddl.4p_0a_2d.0,pfile5,6,1,9,0.125,0.123997,0.02,0.09,0,0.013997,1,0.0274922,-nan
zenotravel.pddl.4p_0a_2d.0,pfile6,6,1,11,0.0625,0.143997,0,0.13,0,0.013997,1,0.0234255,-nan
